,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
99,31,4,2,2,0,385.0,1,0,2,21,8,304,1,-1,0,3
100,37,7,1,1,0,1381.6510878323932,0,0,2,5,6,232,1,-1,0,3
101,47,0,1,3,0,66.0,0,0,0,7,1,358,1,-1,0,3
102,49,7,2,1,0,133.0,0,0,2,11,6,319,6,-1,0,3
103,56,2,0,0,0,29.0,0,0,0,29,4,52,2,227,1,0
104,50,9,0,1,0,0.0,1,0,0,13,1,120,2,91,6,0
105,41,7,0,1,0,440.0,1,0,0,5,3,103,1,248,1,0
106,26,0,2,1,0,82.0,1,0,2,5,8,228,1,-1,0,3
107,44,1,1,1,0,1697.0,1,0,2,4,5,150,2,-1,0,3
108,48,4,0,2,0,2263.0,0,0,0,29,5,874,2,-1,0,3
109,39,9,2,2,0,1522.0,1,0,0,28,1,15,8,-1,0,3
110,34,4,1,2,0,436.0,0,1,0,28,5,118,4,-1,0,3
111,43,0,1,1,0,584.0,0,0,2,20,6,27,1,-1,0,3
112,44,4,1,2,0,612.0,1,0,2,29,8,88,2,-1,0,3
113,54,1,1,1,0,-135.0,1,0,0,14,8,152,3,370,2,0
114,35,9,0,1,0,56.0,0,0,0,29,1,24,12,-1,0,3
115,27,1,2,0,0,5.0,1,0,0,18,8,182,1,-1,0,3
116,34,7,2,1,0,1921.0,1,0,0,4,3,61,1,-1,0,3
117,57,4,1,0,0,1052.0,1,0,2,13,8,227,4,-1,0,3
118,38,1,2,0,0,3132.0,0,0,0,5,3,304,1,-1,0,3
119,34,4,2,2,0,11350.0,1,0,0,20,9,159,1,-1,0,3
120,56,1,0,1,0,934.0,0,0,0,29,5,375,2,-1,0,3
121,41,8,2,3,0,468.0,0,0,0,4,3,270,2,-1,0,3
122,44,1,1,0,0,622.0,1,0,2,21,3,66,1,-1,0,3
123,57,1,1,0,0,-238.0,0,0,2,27,6,79,1,-1,0,3
124,52,7,0,1,0,1635.0,1,0,2,13,8,730,1,-1,0,3
125,38,4,1,2,0,595.0,1,0,0,18,9,70,2,-1,0,3
126,35,0,2,2,0,5007.0,1,0,0,11,9,133,1,90,3,0
127,36,9,0,1,0,664.0,1,1,0,30,5,266,4,-1,0,3
128,38,4,1,2,0,0.0,1,0,1,20,9,25,2,-1,0,3
129,46,0,1,3,0,-1092.0,1,0,0,12,8,75,5,-1,0,3
130,25,4,2,2,0,99.0,1,1,2,16,8,102,4,-1,0,3
131,31,8,1,0,0,46.0,1,0,0,10,5,487,1,-1,0,3
132,40,4,1,2,0,66.0,0,0,0,13,1,737,4,-1,0,3
133,44,9,2,2,0,2033.0,0,0,0,3,11,444,1,99,1,0
134,31,1,2,1,0,707.0,1,0,0,18,8,52,2,-1,0,3
135,36,7,2,1,0,417.0,1,0,0,6,3,15,10,207,3,0
136,40,1,1,0,0,0.0,1,0,2,5,8,463,1,-1,0,3
137,29,9,2,1,0,6.0,0,0,0,25,8,315,1,-1,0,3
138,35,4,1,2,0,16.0,0,0,0,19,9,185,1,-1,0,3
139,42,9,1,1,0,1865.0,1,0,2,15,8,164,1,-1,0,3
140,30,1,1,1,0,319.0,0,0,0,27,4,210,2,-1,0,3
141,44,1,1,0,0,1265.0,1,0,0,16,5,555,1,-1,0,3
142,33,1,1,1,0,686.0,1,1,1,14,8,30,2,343,12,1
143,48,9,1,1,0,256.0,1,0,2,29,8,150,4,-1,0,3
144,32,4,2,2,0,1804.0,1,0,2,20,6,73,3,-1,0,3
145,53,9,2,0,0,481.0,0,0,0,18,9,399,1,-1,0,3
146,31,1,1,0,0,7424.0,1,0,2,21,10,54,1,-1,0,3
147,44,11,1,1,0,2319.0,0,0,0,4,1,251,3,-1,0,3
148,41,4,1,1,0,148.0,0,0,0,29,1,82,9,-1,0,3
149,58,4,2,3,0,127.0,1,0,2,9,8,244,5,-1,0,3
150,28,0,1,1,0,-76.0,1,0,0,18,8,143,1,-1,0,3
151,23,8,2,1,0,1298.0,0,0,0,14,5,603,1,-1,0,3
152,32,7,1,1,0,386.0,0,0,0,12,1,305,3,104,1,0
153,49,6,1,1,0,294.0,1,0,2,2,6,230,3,-1,0,3
154,32,4,2,2,0,1169.0,1,0,2,21,8,322,2,-1,0,3
155,46,1,1,1,0,0.0,1,0,0,23,5,122,1,-1,0,3
156,33,2,1,3,0,73.0,1,0,0,11,1,156,1,263,2,0
157,32,4,2,2,0,156.0,1,0,0,4,3,82,2,246,6,0
158,39,4,2,2,0,257.0,0,0,0,7,5,58,1,-1,0,3
159,51,1,1,0,0,2832.0,1,0,0,20,0,122,4,238,12,1
160,50,1,1,0,0,216.0,1,0,0,17,5,195,3,-1,0,3
161,25,7,2,1,0,94.0,0,0,2,25,3,32,1,-1,0,3
162,38,1,1,0,0,195.0,1,0,0,15,8,165,2,-1,0,3
163,53,3,1,0,1,945.0,0,0,0,29,4,82,2,-1,0,3
164,36,9,1,1,0,196.0,1,0,0,20,1,687,2,-1,0,3
165,32,0,2,1,0,458.0,0,1,0,23,5,125,2,-1,0,3
166,58,5,1,0,0,1980.0,0,0,0,5,6,255,1,-1,0,3
167,46,1,1,1,0,2297.0,0,0,1,31,5,16,4,-1,0,3
168,35,7,0,1,0,-504.0,0,0,0,10,5,228,1,-1,0,3
169,33,9,1,1,0,2746.0,1,0,0,18,9,188,2,-1,0,3
170,33,0,2,2,0,2.0,0,0,0,29,4,132,2,-1,0,3
171,44,1,1,0,0,858.0,1,0,2,21,8,362,5,-1,0,3
172,31,4,2,2,0,0.0,1,0,0,15,0,185,2,-1,0,3
173,30,1,0,1,0,251.0,1,1,2,7,8,120,2,-1,0,3
174,41,0,0,1,0,4.0,1,0,0,5,3,232,1,211,1,0
175,34,0,2,1,0,1880.0,1,0,2,23,8,297,1,-1,0,3
176,34,4,2,2,0,2646.0,0,0,0,14,0,142,1,-1,0,3
177,55,1,1,1,0,89.0,1,0,2,5,8,106,3,-1,0,3
178,43,1,1,0,0,2317.0,0,0,0,28,4,412,1,-1,0,3
179,44,1,1,0,0,93.0,1,0,0,17,9,230,1,-1,0,3
180,32,4,2,2,0,473.0,1,0,0,11,8,72,2,361,1,1
181,35,9,1,2,0,75.0,0,0,0,28,1,9,19,-1,0,3
182,40,7,1,1,0,376.0,1,1,2,11,6,268,2,-1,0,3
183,33,4,1,1,0,3132.0,1,0,2,23,8,350,5,-1,0,3
184,29,0,2,1,0,196.0,0,0,1,2,3,268,1,-1,0,3
185,52,1,1,0,0,649.0,1,1,2,20,6,7,20,-1,0,3
186,58,9,1,1,0,0.0,1,0,0,5,3,1823,1,205,1,0
187,35,7,1,1,0,1728.0,1,0,0,17,0,865,1,-1,0,3
188,27,7,2,1,0,-195.0,1,0,0,18,8,391,1,-1,0,3
189,31,7,2,1,0,1381.6510878323932,0,0,0,4,8,200,1,91,1,0
190,33,0,0,1,0,661.0,1,0,0,4,8,90,4,167,3,0
191,56,1,1,3,0,0.0,0,0,2,20,6,39,8,-1,0,3
192,33,1,1,1,0,1130.0,1,0,0,7,0,1063,1,-1,0,3
193,34,7,2,1,0,1701.0,1,0,2,21,8,245,1,-1,0,3
194,52,0,2,1,0,-346.0,1,1,2,19,8,147,3,-1,0,3
195,53,4,1,1,0,-264.0,0,1,0,2,3,150,1,-1,0,3
196,41,4,1,2,0,0.0,0,0,1,16,5,41,6,-1,0,3
197,26,8,2,1,0,0.0,0,0,0,27,8,107,2,-1,0,3
198,46,7,0,1,0,0.0,0,0,2,20,6,1023,3,-1,0,3
199,39,6,0,1,0,0.0,1,0,2,23,8,210,2,-1,0,3
200,38,0,1,1,0,0.0,1,0,0,23,8,353,2,-1,0,3
201,40,0,1,1,0,1327.0,1,1,2,26,8,76,2,-1,0,3
202,53,5,2,2,0,888.0,1,0,0,9,5,128,1,-1,0,3
203,45,6,2,0,0,112.0,0,0,2,20,6,298,4,-1,0,3
204,46,1,1,0,0,620.0,1,0,0,20,1,174,2,-1,0,3
205,52,0,1,1,0,7742.0,0,0,0,11,1,149,3,-1,0,3
206,47,6,0,1,0,8515.0,1,0,2,20,9,14,7,112,4,1
207,24,8,2,1,0,228.0,0,0,0,20,1,99,1,79,1,0
208,30,4,2,2,0,112.0,1,1,0,12,8,451,2,349,2,0
209,23,1,2,2,0,736.0,1,0,0,30,0,119,1,-1,0,3
210,31,9,1,1,0,793.0,0,0,0,19,9,755,1,-1,0,3
211,38,11,1,3,0,124.0,1,0,2,20,8,37,13,-1,0,3
212,48,9,0,1,0,-154.0,0,0,2,3,6,342,3,-1,0,3
213,26,9,2,1,0,3382.0,0,0,0,24,5,844,5,-1,0,3
214,60,1,0,0,0,7601.0,1,0,2,8,8,285,1,-1,0,3
215,51,1,1,1,0,1414.0,1,0,2,17,9,422,3,186,2,0
216,41,9,1,1,0,-329.0,0,0,1,5,3,13,8,238,9,1
217,37,2,1,1,0,2055.0,1,1,0,10,5,241,4,-1,0,3
218,73,5,1,0,0,508.0,0,0,0,9,7,176,1,-1,0,3
219,41,1,0,1,0,258.0,0,0,2,17,6,88,2,-1,0,3
220,31,1,2,0,0,2369.0,1,0,0,18,8,87,1,-1,0,3
221,37,4,1,2,0,216.0,1,0,0,23,5,75000,3,-1,0,3
222,52,9,1,1,0,291.0,0,0,2,8,8,143,1,-1,0,3
223,41,1,2,1,0,1080.0,1,1,2,8,8,192,4,-1,0,3
224,30,4,2,2,0,0.0,0,0,0,28,1,62,7,-1,0,3
225,28,10,2,2,0,1638.0,0,0,0,29,4,238,1,-1,0,3
226,40,9,1,2,0,602.0,1,0,0,15,8,145,4,360,7,0
227,27,1,2,0,0,140.0,0,0,1,28,4,183,2,-1,0,3
228,37,1,2,1,0,415.0,0,0,2,18,6,203,1,-1,0,3
229,54,10,2,1,0,380.0,0,0,0,17,9,696,2,-1,0,3
230,58,7,1,1,0,1381.6510878323932,1,0,0,20,9,161,7,-1,0,3
231,54,2,1,3,0,1021.0,0,0,2,20,6,13,7,-1,0,3
232,32,9,1,1,0,767.0,1,1,0,4,3,42,1,-1,0,3
233,45,4,0,2,1,-946.0,1,0,0,13,8,213,1,-1,0,3
234,41,7,1,3,0,88.0,1,0,0,11,8,105,1,336,2,0
235,41,9,1,1,0,55.0,1,0,0,6,1,185,4,-1,0,3
236,30,2,1,0,0,495.0,1,0,0,17,0,384,2,-1,0,3
237,40,4,1,2,0,373.0,1,1,2,13,8,518,1,-1,0,3
238,48,4,2,2,0,1437.0,1,1,2,17,6,34,2,-1,0,3
239,55,3,1,0,0,211.0,0,0,0,18,1,111,3,-1,0,3
240,51,2,1,2,0,228.0,1,0,0,7,8,72,1,-1,0,3
241,40,7,1,3,0,4075.0,1,0,2,16,6,162,3,-1,0,3
242,32,4,1,2,0,263.0,0,0,0,22,1,175,1,-1,0,3
243,35,1,1,1,0,-461.0,0,0,2,23,8,339,1,-1,0,3
244,30,6,2,2,0,1259.0,0,0,0,20,9,435,1,-1,0,3
245,32,10,1,1,0,869.0,1,0,0,29,4,177,1,-1,0,3
246,29,1,1,2,0,340.0,1,0,0,11,8,21,6,-1,0,3
247,42,4,1,2,0,254.0,0,0,0,9,2,288,7,183,4,2
248,47,9,0,1,0,1573.0,1,0,2,26,8,130,1,-1,0,3
249,35,2,2,1,0,475.0,0,1,0,21,5,936,4,-1,0,3
250,43,11,1,0,0,2113.0,0,0,0,29,5,33,2,-1,0,3
251,41,4,0,2,0,607.0,1,1,2,8,8,240,3,-1,0,3
252,36,4,1,2,0,86.0,1,0,0,3,11,104,1,380,3,0
253,49,4,1,2,0,502.0,0,0,0,22,1,379,4,-1,0,3
254,31,4,2,2,0,2137.0,0,0,0,6,3,132,1,-1,0,3
255,32,0,2,2,0,3188.0,0,0,0,5,3,65,2,242,1,1
256,58,1,1,1,0,1457.0,1,0,0,8,5,144,4,-1,0,3
257,30,8,2,1,0,3096.0,0,0,0,2,1,226,3,188,1,0
258,35,4,2,2,0,643.0,1,0,2,23,8,322,1,-1,0,3
259,40,7,0,1,0,1062.0,1,0,0,15,0,389,2,299,4,0
260,80,5,1,1,0,2.0,0,0,1,15,10,442,1,-1,0,3
261,36,1,2,1,0,2390.0,1,0,2,20,8,446,12,-1,0,3
262,41,7,0,1,0,49.0,1,0,2,16,8,619,2,-1,0,3
263,41,7,1,1,0,1553.0,1,0,2,27,8,492,8,-1,0,3
264,27,7,2,1,0,468.0,1,0,0,13,8,109,1,-1,0,3
265,34,9,1,1,0,883.0,0,0,0,14,1,163,3,-1,0,3
266,35,9,0,3,0,244.0,0,0,0,21,5,54,10,-1,0,3
267,35,3,1,0,0,113.0,1,0,0,17,5,923,2,-1,0,3
268,33,3,1,1,0,8.0,1,0,0,14,1,425,4,-1,0,3
269,49,9,1,3,0,15.0,0,0,2,6,8,92,2,-1,0,3
270,31,4,2,2,0,23.0,1,0,0,7,8,98,1,-1,0,3
271,34,9,1,2,0,2656.0,1,0,0,24,5,302,1,-1,0,3
272,49,4,0,1,0,4908.0,0,0,0,31,5,42,4,-1,0,3
273,41,4,1,2,0,1204.0,1,1,0,13,8,310,2,-1,0,3
274,30,9,2,1,0,0.0,0,0,0,22,1,79,5,-1,0,3
275,41,1,0,0,0,1887.0,0,0,2,12,6,168,2,-1,0,3
276,44,4,1,2,0,1945.0,0,0,2,14,8,191,1,-1,0,3
277,34,9,2,1,0,0.0,0,0,0,19,1,130,2,-1,0,3
278,30,4,2,2,0,78.0,1,0,2,15,8,73,2,-1,0,3
279,26,9,1,2,0,2026.0,0,0,0,22,8,43,1,-1,0,3
280,41,4,1,2,0,-4.0,1,0,0,8,8,72,1,368,1,0
281,60,5,0,2,0,4.0,1,0,0,2,2,415,1,190,5,0
282,30,9,2,1,0,194.0,0,1,0,27,1,60,3,-1,0,3
283,35,1,0,0,0,289.0,1,0,0,13,8,296,1,-1,0,3
284,52,7,1,1,0,1645.0,0,0,0,28,1,-1,1,-1,0,3
285,34,9,2,1,0,1381.6510878323932,1,0,2,27,8,280,1,-1,0,3
286,33,0,1,1,0,0.0,1,0,0,10,5,181,1,-1,0,3
287,24,8,2,1,0,125.0,0,0,0,11,1,477,2,-1,0,3
288,29,1,1,1,0,-191.0,0,1,0,14,5,115,2,-1,0,3
289,50,4,1,1,1,421.0,0,0,0,20,9,22,5,-1,0,3
290,45,0,2,1,0,276.0,0,1,2,9,6,346,2,-1,0,3
291,62,11,1,1,0,367.0,0,0,1,7,11,221,1,189,5,0
292,33,4,2,2,0,321.0,0,0,0,22,1,227,2,-1,0,3
293,48,4,2,2,0,1381.6510878323932,1,1,0,8,8,76,1,-1,0,3
294,41,3,0,1,0,0.0,0,0,2,17,6,98,1,-1,0,3
295,50,4,1,2,0,619.0,1,0,1,25,5,219,2,-1,0,3
296,47,10,1,2,0,1725.0,1,1,0,30,10,183,2,-1,0,3
297,31,9,2,2,0,-749.0,1,1,0,29,5,82,4,-1,0,3
298,58,1,1,3,0,807.0,1,0,0,7,8,57,1,366,2,0
299,29,4,2,3,0,698.0,0,0,0,8,3,186,1,-1,0,3
300,56,9,1,1,0,1093.0,0,0,0,7,1,89,4,-1,0,3
301,41,4,1,2,1,852.0,1,1,0,27,1,157,10,-1,0,3
302,35,0,1,1,0,907.0,0,1,2,2,5,97,4,-1,0,3
303,24,10,2,2,1,-164.0,1,1,0,24,5,117,4,-1,0,3
304,48,2,1,0,0,2675.0,0,0,0,20,9,123,1,-1,0,3
305,46,0,1,1,0,35.0,0,0,2,16,8,84,2,-1,0,3
306,37,1,1,1,0,80.0,1,1,2,9,1,6,1,461,5,0
307,54,11,1,1,0,2206.0,0,0,0,12,9,104,1,99,2,1
308,67,5,1,3,0,2540.0,0,0,1,14,6,278,5,116,4,1
309,27,0,1,1,0,1596.0,0,0,0,1,11,82,1,-1,0,3
310,30,9,2,1,0,44.0,0,0,0,11,1,187,2,-1,0,3
311,57,10,1,1,0,1381.6510878323932,0,0,0,12,9,39,3,-1,0,3
312,35,0,2,1,0,91.0,1,0,2,23,8,185,4,-1,0,3
313,36,4,1,1,0,122.0,1,0,2,19,8,39,7,-1,0,3
314,56,4,1,0,0,17.0,1,0,0,15,5,123,4,-1,0,3
315,46,9,1,3,0,3914.0,1,0,0,30,0,247,1,-1,0,3
316,34,7,2,1,0,4062.0,1,1,0,15,8,29,1,-1,0,3
317,35,9,1,1,0,94.0,1,1,2,14,8,208,5,-1,0,3
318,57,1,1,0,0,162.0,1,0,2,6,8,155,2,-1,0,3
319,41,5,0,0,0,-233.0,1,0,2,15,8,1156,2,-1,0,3
320,37,9,1,1,0,1047.0,1,1,2,12,8,151,1,-1,0,3
321,53,9,1,0,0,0.0,0,0,0,21,5,96,1,-1,0,3
322,41,1,1,1,0,2913.0,0,0,0,20,9,1058,2,-1,0,3
323,46,1,1,1,0,4646.0,1,0,0,7,8,33,3,359,1,0
324,33,9,1,1,0,4790.0,1,0,0,20,0,137,1,272,2,0
325,35,9,1,2,0,944.0,0,0,0,8,1,351,2,-1,0,3
326,30,4,2,2,0,147.0,0,0,0,1,6,153,1,-1,0,3
327,55,3,1,1,0,5.0,0,0,0,11,5,269,2,-1,0,3
328,36,1,1,0,0,946.0,1,0,2,18,6,255,3,-1,0,3
329,53,1,1,1,0,10185.0,0,0,0,23,7,115,1,-1,0,3
330,28,1,2,1,0,4054.0,1,0,0,11,8,133,2,-1,0,3
331,51,1,1,0,0,-637.0,1,1,0,19,9,233,2,-1,0,3
332,29,1,2,1,0,1012.0,1,0,2,23,8,926,1,-1,0,3
333,41,8,2,2,0,1535.0,1,0,2,12,8,126,2,-1,0,3
334,36,6,1,2,0,506.0,0,0,0,3,3,124,1,92,3,2
335,31,4,1,2,0,-181.0,1,0,0,8,8,127,1,170,2,0
336,35,7,0,1,0,394.0,1,0,2,23,8,154,2,-1,0,3
337,23,8,2,1,0,157.0,1,0,2,6,8,54,1,-1,0,3
338,30,8,2,1,0,48.0,0,0,0,25,3,217,1,191,2,2
339,32,9,2,2,0,932.0,1,0,0,16,0,944,1,318,1,0
340,49,4,1,2,0,1167.0,1,1,0,24,11,249,1,91,14,2
341,32,9,2,1,0,-114.0,0,0,0,12,1,-20,2,-1,0,3
342,41,9,2,1,0,8381.0,0,0,0,21,9,98,1,-1,0,3
343,50,0,0,1,0,1332.0,1,0,2,16,8,95,3,-1,0,3
344,29,4,1,2,0,10576.0,0,0,2,15,8,1224,2,-1,0,3
345,57,7,1,1,0,6874.0,1,0,2,14,8,356,1,-1,0,3
346,32,9,1,1,0,91.0,1,0,0,12,8,209,1,-1,0,3
347,42,9,1,2,0,3777.0,1,0,0,4,3,139,4,-1,0,3
348,39,2,2,1,0,829.0,0,0,0,5,3,336,1,-1,0,3
349,44,4,0,2,0,243.0,0,0,0,21,1,118,4,-1,0,3
350,34,10,0,2,1,75.0,1,0,2,2,6,31,3,-1,0,3
351,44,1,1,0,0,3057.0,1,0,2,26,8,98,4,-1,0,3
352,27,0,2,1,0,3629.0,0,0,0,16,6,66,1,-1,0,3
353,25,9,2,2,0,3411.0,0,0,0,19,1,225,2,-1,0,3
354,59,5,0,2,0,1381.6510878323932,0,1,0,8,5,136,1,-1,0,3
355,31,10,2,2,0,381.0,1,0,0,9,3,42,2,-1,0,3
356,42,0,1,0,0,-466.0,0,1,1,31,5,94,15,-1,0,3
357,41,7,0,1,0,1040.0,1,0,2,19,8,552,3,-1,0,3
358,31,4,2,2,0,424.0,0,1,0,7,1,224,2,-1,0,3
359,36,4,1,2,0,11767.0,1,0,0,7,0,226,1,-1,0,3
360,35,0,1,2,0,286.0,0,0,0,30,0,949,2,-1,0,3
361,40,9,1,1,0,42.0,0,0,0,13,1,1842,2,-1,0,3
362,34,4,2,2,0,1381.6510878323932,1,0,1,6,0,86,1,-1,0,3
363,27,8,2,1,0,274.0,0,0,0,27,8,283,1,-1,0,3
364,32,4,1,2,0,2737.0,1,1,0,21,9,44,4,182,1,0
365,58,4,2,2,0,1387.0,1,0,1,3,3,140,6,6,6,1
366,30,4,2,1,0,161.0,1,0,0,20,0,397,3,-1,0,3
367,38,9,0,1,0,1333.0,1,1,2,28,8,188,1,-1,0,3
368,49,0,1,1,0,10250.0,1,0,1,24,10,97,1,-1,0,3
369,43,1,1,0,0,533.0,1,0,0,14,8,246,2,370,1,1
370,30,4,2,2,0,358.0,1,0,2,19,8,88,51,-1,0,3
