,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,57,9,1,3,0,1617.0,1,0,2,7,8,96,2,-1,0,3,0
36,30,4,2,2,0,0.0,1,0,0,2,0,293,2,314,2,0,0
37,37,1,1,1,0,-100.0,1,0,0,18,8,108,2,349,2,0,0
38,46,7,1,1,0,53.0,0,1,0,28,5,31,3,-1,0,3,0
39,58,0,1,1,0,145.0,1,0,1,29,5,616,13,-1,0,3,1
40,33,9,1,1,0,884.0,1,0,2,23,8,271,1,-1,0,3,0
43,44,1,1,0,0,753.0,1,0,2,8,8,151,2,-1,0,3,0
44,50,0,1,1,0,736.0,1,0,2,14,8,74,1,-1,0,3,0
45,32,4,1,2,0,958.0,1,0,1,17,5,151,1,-1,0,3,0
46,29,7,2,0,0,95.0,1,0,2,13,8,266,2,-1,0,3,0
47,37,0,1,1,0,14.0,1,0,2,8,8,176,2,-1,0,3,0
48,48,7,1,1,0,2850.0,1,0,0,6,1,107,3,-1,0,3,0
49,44,7,0,1,0,608.0,1,1,2,18,6,19,30,-1,0,3,0
50,50,10,0,3,0,1088.0,0,0,0,2,3,749,1,-1,0,3,1
51,41,4,1,2,0,6060.0,1,0,2,15,8,71,2,-1,0,3,0
52,35,4,1,2,0,2123.0,1,0,0,20,0,54,1,273,3,0,0
54,61,5,1,1,0,399.0,0,0,0,26,1,81,1,-1,0,3,0
55,84,5,0,0,0,1680.0,0,0,1,6,11,113,5,97,3,1,0
56,54,4,1,2,0,6525.0,1,0,0,17,0,231,1,149,4,0,0
57,28,1,1,1,0,-95.0,1,0,2,13,8,200,1,-1,0,3,0
58,50,9,1,1,0,3176.0,0,0,0,7,1,670,1,-1,0,3,1
59,30,0,1,1,0,1589.0,1,0,0,18,9,51,2,-1,0,3,0
60,60,6,1,2,0,10861.0,0,0,0,9,9,98,1,91,2,0,1
61,33,4,1,2,0,540.0,0,0,0,11,1,79,4,-1,0,3,0
62,40,0,0,1,0,540.0,1,0,0,30,4,74,1,-1,0,3,0
64,45,4,2,2,0,2067.0,1,0,0,13,1,393,2,462,1,2,1
65,26,4,2,2,0,45.0,0,0,0,10,5,1187,3,-1,0,3,1
66,40,1,2,1,0,82.0,1,0,0,28,5,86,4,-1,0,3,0
68,34,7,1,1,0,703.0,0,0,0,17,0,282,2,150,2,0,0
69,50,1,1,0,0,2610.0,1,1,2,20,8,181,6,-1,0,3,0
70,42,9,2,1,0,146.0,0,0,0,8,1,229,2,-1,0,3,0
71,36,7,0,1,0,54.0,1,0,0,20,9,355,6,-1,0,3,0
73,25,0,2,1,0,131.0,1,1,2,9,8,237,1,-1,0,3,0
74,39,1,1,0,0,1564.0,0,0,2,17,6,57,1,-1,0,3,0
75,32,9,1,1,0,-95.0,1,0,0,29,5,935,4,-1,0,3,0
77,40,1,0,0,0,-191.0,1,0,2,15,8,755,1,-1,0,3,1
79,34,1,1,0,0,3527.0,1,0,0,21,9,1022,1,-1,0,3,1
80,51,4,0,2,0,492.0,0,1,0,29,5,54,7,-1,0,3,0
81,37,4,1,2,1,0.0,0,0,0,17,9,44,1,123,2,0,0
82,63,5,1,1,0,1486.0,0,0,0,14,8,698,5,316,3,1,0
83,59,5,1,0,0,0.0,0,0,2,16,6,39,1,-1,0,3,0
84,36,9,0,1,0,861.0,0,0,1,29,1,140,2,-1,0,3,0
85,38,9,2,1,0,145.0,1,0,2,27,8,109,2,-1,0,3,0
86,34,8,2,3,0,242.0,0,0,1,4,7,364,2,244,2,0,0
88,70,5,1,0,0,2346.0,0,0,0,1,6,421,1,97,6,2,0
90,44,4,1,1,0,3286.0,1,0,0,18,5,569,1,-1,0,3,0
91,53,11,1,3,0,13.0,0,0,1,28,4,69,1,-1,0,3,0
92,56,5,0,0,0,0.0,0,0,2,5,6,27,1,-1,0,3,0
93,40,1,1,0,0,12.0,1,0,2,5,6,54,26,-1,0,3,0
94,56,4,1,2,0,935.0,1,0,0,17,9,140,1,-1,0,3,0
95,40,0,0,1,0,1232.0,0,0,0,5,3,217,1,-1,0,3,0
96,56,0,1,1,0,1290.0,0,0,2,12,6,243,1,-1,0,3,0
97,65,2,1,2,0,2331.0,0,0,1,11,1,425,1,183,2,2,1
98,40,0,1,1,0,3138.0,0,0,0,12,1,238,1,-1,0,3,0
99,49,9,1,1,0,412.0,0,0,0,19,1,1293,8,-1,0,3,1
100,29,1,1,1,0,-478.0,0,1,0,8,5,528,2,-1,0,3,0
101,28,9,2,1,0,593.0,1,0,2,19,6,202,1,-1,0,3,0
102,36,4,2,2,0,202.0,0,0,0,13,1,150,4,-1,0,3,0
103,29,2,2,2,0,135.0,1,0,0,12,8,245,1,356,1,0,0
104,31,7,1,1,0,-163.0,1,0,0,21,5,200,2,-1,0,3,0
105,42,9,2,1,0,716.0,1,0,0,21,9,110,1,-1,0,3,0
106,59,4,1,1,0,544.0,0,0,2,20,6,67,2,-1,0,3,0
107,55,4,0,2,0,271.0,1,0,0,9,0,191,4,-1,0,3,0
108,34,6,1,2,0,13354.0,0,0,1,21,9,26,5,-1,0,3,0
109,43,2,2,0,0,2124.0,1,0,0,19,9,104,1,-1,0,3,0
110,38,2,1,2,0,228.0,1,0,0,5,3,105,1,-1,0,3,0
112,26,4,0,2,1,-402.0,0,1,2,12,8,127,2,-1,0,3,0
113,54,5,1,1,0,1154.0,1,0,1,3,3,125,3,-1,0,3,0
114,34,1,2,1,0,1364.645545435511,1,1,2,5,8,346,1,-1,0,3,0
115,57,9,0,1,0,204.0,0,0,2,6,6,97,5,-1,0,3,0
116,42,1,1,0,0,2273.0,1,0,0,18,9,253,1,112,2,0,0
117,42,4,2,2,0,706.0,0,0,0,29,4,132,2,-1,0,3,0
118,21,10,2,1,0,1333.0,0,0,0,2,3,120,1,-1,0,3,0
119,47,9,2,1,0,1710.0,0,1,0,16,5,525,2,-1,0,3,0
120,50,9,1,2,0,72.0,0,0,1,5,2,12,1,-1,0,3,0
121,57,4,0,3,0,0.0,0,0,0,27,7,102,1,-1,0,3,0
123,56,10,2,0,0,1110.0,0,0,0,4,3,945,2,-1,0,3,1
124,51,6,1,0,0,106.0,1,0,1,31,5,240,2,-1,0,3,0
125,28,1,1,1,0,2378.0,1,1,0,18,5,800,6,-1,0,3,0
126,43,7,1,0,0,3.0,1,0,2,5,8,186,2,-1,0,3,0
127,38,9,2,1,0,-591.0,1,0,2,23,8,71,1,-1,0,3,0
128,49,4,1,2,0,85.0,1,0,0,14,8,590,5,359,1,1,1
129,42,1,1,1,0,505.0,1,0,0,15,8,117,1,-1,0,3,0
130,40,6,1,2,0,1364.645545435511,1,0,0,4,3,357,1,-1,0,3,0
131,22,8,2,1,0,224.0,0,0,2,14,11,5,1,-1,0,3,0
132,41,1,1,0,0,143.0,1,1,2,2,6,659,2,-1,0,3,1
133,47,4,0,2,0,94.0,1,0,0,31,5,9,19,-1,0,3,0
134,51,0,0,1,0,2195.0,1,0,2,13,8,59,1,-1,0,3,0
135,39,9,1,2,0,3911.0,1,0,0,18,9,247,2,-1,0,3,0
136,33,1,1,0,0,1364.645545435511,1,0,0,8,8,548,1,-1,0,3,0
137,36,9,2,1,0,1053.0,1,0,2,21,8,147,1,-1,0,3,0
138,32,1,1,1,0,931.0,1,0,2,3,6,409,1,-1,0,3,0
139,53,0,0,1,0,-120.0,1,0,2,27,8,211,1,-1,0,3,0
140,54,1,1,1,0,853.0,0,0,2,16,6,24,5,-1,0,3,0
141,38,1,2,1,0,711.0,1,0,0,24,3,254,5,140,1,1,0
142,31,4,1,2,0,233.0,1,0,0,14,8,241,2,365,10,0,0
143,29,1,2,1,0,309.0,1,0,0,11,8,471,3,-1,0,3,0
144,34,1,0,1,0,3798.0,1,0,2,23,8,488,2,-1,0,3,0
145,41,4,1,2,0,97.0,0,0,0,18,9,130,1,-1,0,3,0
147,44,7,1,1,0,634.0,1,0,0,20,0,226,2,-1,0,3,0
148,33,9,2,2,0,0.0,1,0,0,21,9,654,2,-1,0,3,1
149,29,1,1,1,0,832.0,1,0,2,16,8,228,2,-1,0,3,0
150,27,7,2,1,0,353.0,1,0,0,15,8,663,1,-1,0,3,1
151,60,5,1,1,0,2674.0,0,0,0,14,5,96,2,-1,0,3,0
152,30,9,1,1,0,274.0,1,1,0,21,9,105,5,102,2,0,0
153,47,6,1,3,0,935.0,1,0,2,6,8,225,1,-1,0,3,0
154,35,7,1,1,0,27.0,1,1,0,5,8,442,2,278,3,0,0
155,46,1,1,1,0,176.0,0,0,2,29,8,131,1,-1,0,3,0
156,71,9,1,2,0,383.0,0,0,0,27,10,327,2,183,3,2,0
157,39,4,1,1,0,0.0,1,0,0,27,1,63,3,-1,0,3,0
158,30,10,2,2,0,306.0,0,0,0,6,3,90,6,256,14,0,0
159,32,4,2,2,0,2974.0,1,0,0,20,0,169,1,-1,0,3,0
160,34,0,1,1,0,147.0,1,1,0,29,5,57,7,-1,0,3,0
161,38,1,1,1,0,1116.0,0,0,2,9,6,80,3,-1,0,3,0
162,41,1,1,0,0,262.0,1,0,2,29,8,159,1,-1,0,3,0
163,34,7,1,1,0,-315.0,1,0,2,8,8,56,2,-1,0,3,0
164,30,9,1,1,0,0.0,1,0,0,14,8,47,2,-1,0,3,0
165,33,1,1,2,0,6138.0,1,0,0,19,9,384,1,183,1,0,0
166,27,1,2,2,0,567.0,0,0,0,25,9,238,2,184,1,2,1
167,26,7,1,1,0,-285.0,1,1,2,4,6,279,1,-1,0,3,0
168,52,3,1,0,0,310.0,0,1,2,12,6,100,4,-1,0,3,0
169,31,1,1,0,0,229.0,0,0,1,8,5,186,2,-1,0,3,0
170,33,0,2,1,0,315.0,1,1,0,14,8,888,3,-1,0,3,1
171,39,0,1,1,0,1757.0,0,0,1,28,10,125,2,-1,0,3,1
172,34,1,1,0,0,567.0,0,1,0,8,5,241,3,-1,0,3,0
173,50,9,1,1,0,3263.0,1,0,0,23,5,115,1,-1,0,3,0
174,29,1,1,1,0,9.0,1,0,0,25,5,236,8,-1,0,3,0
176,30,9,0,1,0,2403.0,0,0,0,20,1,132,2,-1,0,3,0
177,48,9,1,0,0,788.0,0,0,1,9,5,36,2,-1,0,3,0
178,33,4,0,1,0,321.0,0,1,0,30,5,151,10,-1,0,3,0
179,41,9,1,1,0,1364.645545435511,1,1,0,21,9,285,2,116,4,0,0
180,31,6,1,1,0,581.0,1,0,0,14,8,303,3,174,3,0,0
181,31,7,1,1,0,182.0,0,0,0,20,1,231,2,-1,0,3,0
182,26,4,2,2,0,2692.0,0,0,2,28,8,159,2,-1,0,3,0
183,30,7,2,1,0,-172.0,1,1,0,17,0,282,4,329,2,1,0
185,44,4,1,1,0,2984.0,1,0,2,15,8,770,2,-1,0,3,0
186,45,1,1,0,0,1265.0,1,0,0,11,8,40,8,299,1,2,0
187,37,10,2,1,0,443.0,0,0,0,29,4,1600,1,-1,0,3,1
188,74,5,1,0,0,670.0,0,0,0,23,0,266,5,-1,0,3,1
189,57,1,1,0,0,133.0,0,1,0,30,5,173,4,-1,0,3,0
190,38,1,1,1,0,702.0,0,0,2,17,6,92,2,-1,0,3,0
191,47,0,1,0,0,31.0,1,0,0,6,8,50,1,356,1,0,0
192,41,9,1,1,0,593.0,0,0,0,29,1,95,6,-1,0,3,0
193,39,9,1,2,0,1293.0,0,0,0,3,6,-1,2,-1,0,3,1
194,59,9,0,1,0,-296.0,0,1,0,29,4,34,1,-1,0,3,0
196,23,8,2,1,0,922.0,0,0,0,25,9,242,1,85,8,0,0
197,29,0,1,1,0,1364.645545435511,1,0,2,2,6,150,5,-1,0,3,0
198,52,2,0,2,0,199.0,1,1,2,12,6,246,2,-1,0,3,0
199,49,7,1,1,0,7019.0,1,0,0,2,6,263,1,368,3,0,1
200,28,0,2,1,0,136.0,0,0,0,16,6,355,1,-1,0,3,1
201,34,9,0,1,0,-324.0,0,0,0,14,1,166,4,-1,0,3,0
202,27,4,2,2,0,828.0,0,0,0,30,0,243,1,-1,0,3,0
203,48,10,1,0,0,551.0,1,0,2,29,8,162,2,-1,0,3,0
204,28,0,1,1,0,423.0,1,0,0,23,5,245,1,-1,0,3,0
205,27,7,1,1,0,58.0,1,0,0,7,8,113,1,337,2,1,0
206,32,4,0,2,0,222.0,0,1,0,15,5,820,4,-1,0,3,1
207,48,9,1,1,0,5.0,0,0,2,9,6,65,6,-1,0,3,0
208,35,10,2,1,0,145.0,0,0,0,17,5,354,1,-1,0,3,0
209,33,0,1,1,0,347.0,1,0,0,9,3,7,7,193,13,0,0
210,32,4,2,2,0,574.0,1,0,0,20,9,171,1,127,2,0,0
211,37,7,1,1,0,-601.0,1,0,0,11,5,210,2,-1,0,3,0
213,54,7,1,1,0,88.0,1,0,2,13,8,190,1,-1,0,3,0
214,55,1,0,0,0,410.0,0,1,0,11,5,221,2,-1,0,3,0
215,39,7,1,1,0,104.0,1,0,0,20,0,116,2,332,6,0,0
217,35,9,2,1,0,1227.0,0,0,0,30,5,1005,5,134,10,2,1
218,59,5,0,1,0,602.0,0,0,2,20,6,89,3,-1,0,3,0
219,36,4,1,2,0,274.0,0,0,0,13,1,122,2,-1,0,3,0
221,24,0,2,2,0,-61.0,0,0,0,11,7,95,2,-1,0,3,1
222,30,4,1,2,0,294.0,0,0,0,20,1,605,4,-1,0,3,0
223,39,4,1,2,0,-124.0,0,1,0,22,5,182,1,-1,0,3,0
224,48,4,1,3,0,970.0,0,0,0,31,5,67,2,-1,0,3,0
225,38,1,1,0,0,3289.0,0,0,2,9,6,553,2,-1,0,3,0
226,38,4,0,2,0,151.0,1,0,0,17,5,50,1,-1,0,3,0
227,57,7,0,0,0,1367.0,0,0,2,9,6,144,3,-1,0,3,0
228,39,4,1,2,0,9579.0,1,0,0,18,9,160,3,-1,0,3,0
229,45,3,1,2,0,40.0,1,0,0,3,11,81,1,213,1,0,0
230,41,4,1,2,0,783.0,1,0,0,14,5,126,3,-1,0,3,0
231,36,4,2,2,0,156.0,0,0,0,22,1,122,1,-1,0,3,0
232,44,1,1,0,0,-11.0,1,0,2,9,8,13,1,-1,0,3,0
233,37,0,2,1,0,262.0,0,0,0,7,1,305,1,179,5,1,0
234,51,2,1,1,0,0.0,0,0,2,30,8,510,2,-1,0,3,0
235,38,1,1,0,0,467.0,1,0,2,16,8,379,1,-1,0,3,0
236,31,9,2,1,0,137.0,0,0,0,27,1,27,14,-1,0,3,0
237,35,4,2,1,0,1031.0,1,0,0,22,5,254,1,-1,0,3,0
238,56,10,1,1,0,1350.0,0,0,0,2,6,211,1,-1,0,3,0
239,32,6,0,2,0,3695.0,1,0,0,15,8,34,1,353,3,1,0
240,39,1,1,0,0,1364.645545435511,1,1,0,21,9,229,2,-1,0,3,0
241,26,7,1,1,0,-379.0,1,1,0,22,5,1237,7,-1,0,3,1
242,30,1,2,2,0,4127.0,1,0,1,21,9,47,4,-1,0,3,0
243,29,1,1,1,0,358.0,0,0,0,21,5,88,2,-1,0,3,0
244,39,0,2,1,0,4039.0,1,0,2,20,8,140,1,-1,0,3,0
245,51,4,1,2,0,248.0,1,1,0,17,9,139,2,126,3,0,0
246,37,0,2,1,0,3049.0,1,1,2,29,8,153,1,-1,0,3,0
247,47,0,1,1,0,-1091.0,1,1,0,31,5,153,4,-1,0,3,0
248,33,1,2,1,0,2202.0,1,0,0,20,0,372,2,-1,0,3,0
250,28,8,1,2,0,1.0,0,0,0,15,5,92,4,-1,0,3,0
251,33,9,2,2,0,154.0,0,0,0,4,6,111,2,78,2,0,0
252,31,9,1,1,0,-119.0,1,0,0,18,8,9,5,-1,0,3,0
253,40,4,2,2,0,1509.0,0,0,0,12,8,333,1,58,3,0,0
254,42,1,1,0,0,-336.0,1,0,1,15,8,12,6,-1,0,3,0
255,38,3,2,2,0,0.0,0,0,0,3,6,137,3,-1,0,3,0
256,39,1,1,1,0,971.0,1,1,2,1,5,471,3,-1,0,3,0
257,40,6,1,2,0,1498.0,0,0,0,4,3,62,1,-1,0,3,0
258,44,4,1,2,0,226.0,1,0,0,17,9,76,3,-1,0,3,0
259,32,1,1,1,0,1364.645545435511,1,0,0,14,9,132,1,-1,0,3,1
260,23,1,2,0,0,382.0,0,0,0,15,6,74,1,108,1,1,0
262,33,0,1,1,0,1521.0,1,0,0,14,8,222,1,-1,0,3,0
263,50,1,1,1,0,283.0,1,0,0,7,1,226,3,-1,0,3,0
264,39,1,1,0,0,4.0,1,0,0,19,9,206,5,-1,0,3,0
266,56,9,1,2,0,52.0,0,0,2,20,6,191,3,-1,0,3,0
267,40,4,2,2,0,2306.0,0,0,0,18,1,86,7,-1,0,3,0
268,36,1,1,0,0,1580.0,1,0,0,14,5,615,3,-1,0,3,0
269,60,5,1,1,0,1853.0,0,0,0,11,1,408,1,-1,0,3,1
270,31,4,1,2,0,351.0,0,0,0,21,1,165,3,-1,0,3,0
271,46,9,0,1,0,129.0,0,0,2,25,6,75,2,-1,0,3,0
272,38,1,1,0,0,2569.0,0,0,2,9,6,172,1,-1,0,3,0
273,49,9,2,1,0,0.0,1,0,2,20,8,484,2,-1,0,3,0
274,42,9,2,2,0,2157.0,1,1,2,15,8,260,1,-1,0,3,0
276,54,1,1,1,0,1777.0,1,0,0,18,8,13,5,178,6,2,0
277,33,9,2,2,0,6127.0,0,0,0,8,1,127,3,-1,0,3,0
278,37,3,1,0,0,94.0,1,0,0,20,0,114,2,-1,0,3,0
279,47,4,1,2,0,0.0,1,0,1,6,3,138,4,9,2,1,0
280,42,1,1,0,0,792.0,1,1,0,19,9,611,2,175,12,1,0
281,36,1,1,0,0,8326.0,1,0,2,27,8,20,4,-1,0,3,0
282,40,1,1,0,0,57.0,1,0,0,31,5,1007,9,-1,0,3,1
283,48,10,1,0,0,296.0,1,0,2,9,8,164,8,-1,0,3,0
284,45,2,0,2,0,1273.0,1,1,0,20,9,206,2,162,3,0,0
285,29,1,1,1,0,177.0,1,0,2,12,8,146,3,-1,0,3,0
286,35,9,0,1,0,-94.0,1,0,2,26,8,114,2,-1,0,3,0
287,52,1,1,0,0,1271.0,0,0,0,18,1,131,3,-1,0,3,0
288,35,5,2,1,0,527.0,0,1,2,2,5,348,3,-1,0,3,0
289,50,3,1,1,0,0.0,1,0,0,22,5,160,1,-1,0,3,0
290,50,0,1,1,0,697.0,0,0,0,14,1,118,4,-1,0,3,0
291,40,4,1,2,0,1033.0,1,0,2,15,8,71,1,-1,0,3,0
292,34,4,2,2,0,421.0,0,0,0,11,1,383,3,-1,0,3,0
293,43,1,1,0,0,445.0,1,0,2,15,11,173,1,-1,0,3,0
294,60,4,0,3,0,404.0,1,0,2,9,8,95,2,-1,0,3,0
295,32,1,1,1,0,298.0,1,0,2,29,8,142,7,-1,0,3,0
296,48,1,1,1,0,2697.0,1,1,2,26,8,79,5,-1,0,3,0
297,40,4,1,0,0,1231.0,1,1,2,15,8,184,2,-1,0,3,0
298,42,9,1,1,0,994.0,1,0,0,18,4,453,1,67,9,2,1
299,24,6,2,2,0,931.0,1,0,2,28,8,200,4,-1,0,3,0
300,40,9,2,1,0,591.0,0,1,0,14,1,87,6,-1,0,3,0
301,36,6,2,2,0,2000.0,0,0,2,6,6,94,1,-1,0,3,0
302,43,6,2,0,0,1337.0,1,1,0,20,9,632,2,-1,0,3,0
303,42,7,1,1,0,146.0,1,1,0,15,8,670,4,346,1,0,1
304,30,4,1,2,0,1235.0,0,0,0,28,4,119,2,-1,0,3,0
306,47,4,1,3,0,12245.0,0,0,0,7,5,1103,3,-1,0,3,0
307,40,4,1,2,0,9.0,0,0,0,11,1,386,4,-1,0,3,1
308,24,1,0,1,0,513.0,1,0,0,15,8,61,3,-1,0,3,0
309,38,4,1,2,1,-1007.0,1,1,2,19,6,71,1,-1,0,3,0
310,38,4,2,2,0,0.0,1,0,2,8,8,92,3,-1,0,3,0
311,30,4,1,2,0,740.0,1,1,0,11,8,242,3,341,1,1,0
312,53,4,1,2,0,0.0,0,0,0,26,1,240,2,-1,0,3,0
313,59,9,1,1,0,2342.0,0,1,1,23,5,226,1,-1,0,3,0
314,59,0,0,0,0,0.0,1,0,0,29,5,604,3,-1,0,3,0
315,40,1,1,0,0,1364.645545435511,1,0,2,6,8,410,2,-1,0,3,0
316,44,1,1,1,0,560.0,1,0,2,15,8,80,1,-1,0,3,0
317,52,3,1,1,0,411.0,1,0,1,12,8,210,3,-1,0,3,0
318,53,7,1,1,0,-2.0,1,1,0,16,0,144,2,-1,0,3,0
319,38,2,2,2,0,638.0,1,0,2,9,8,150,1,-1,0,3,0
320,59,4,1,2,0,3998.0,1,0,0,16,5,60,1,-1,0,3,0
321,43,3,1,0,0,94.0,0,0,0,23,5,35,9,-1,0,3,0
322,39,1,1,0,0,519.0,1,1,2,26,8,117,1,-1,0,3,0
323,31,1,2,1,0,297.0,1,0,0,20,9,279,2,-1,0,3,0
324,27,6,1,2,0,0.0,0,1,0,28,5,133,4,-1,0,3,0
325,35,4,1,2,0,231.0,0,0,0,26,1,130,6,-1,0,3,0
326,33,3,1,0,0,451.0,1,0,0,11,8,327,1,-1,0,3,0
327,26,1,2,1,0,2007.0,0,0,0,13,5,272,3,182,2,2,1
328,31,9,1,2,0,4315.0,1,0,2,21,8,359,1,-1,0,3,0
329,58,2,0,1,0,0.0,1,0,0,7,8,270,3,-1,0,3,0
330,58,9,1,1,0,592.0,0,0,2,17,6,206,1,-1,0,3,0
331,44,7,1,1,0,191.0,1,1,0,7,8,490,1,-1,0,3,0
332,59,1,0,0,0,4399.0,1,0,1,31,5,69,8,-1,0,3,0
333,33,4,1,2,0,250.0,0,0,0,4,7,377,6,-1,0,3,1
334,36,1,1,1,0,-190.0,1,0,2,27,8,348,2,-1,0,3,0
335,35,9,1,1,0,46.0,0,0,0,8,1,404,4,-1,0,3,0
336,36,4,0,2,0,102.0,1,0,0,14,0,114,1,-1,0,3,0
337,37,7,1,1,0,749.0,1,0,0,3,0,121,2,-1,0,3,0
338,31,7,1,1,0,490.0,1,0,0,21,9,394,5,179,2,1,0
340,41,1,2,0,1,-137.0,1,1,2,6,8,189,1,-1,0,3,0
341,59,5,1,0,0,0.0,0,0,0,12,1,66,2,-1,0,3,0
342,40,2,1,3,0,1034.0,0,0,0,29,4,75000,1,-1,0,3,0
343,53,7,1,1,0,341.0,0,0,0,12,1,90,2,104,2,2,0
344,27,10,2,0,0,1459.0,1,0,1,29,4,153,1,-1,0,3,0
345,35,0,1,1,0,1364.645545435511,1,0,2,16,6,359,1,-1,0,3,0
346,54,9,1,1,0,827.0,0,1,2,20,6,294,2,-1,0,3,0
347,59,5,1,0,0,363.0,0,0,0,30,0,400,1,-1,0,3,1
348,57,5,1,0,0,6969.0,0,0,0,19,9,152,2,-1,0,3,0
349,54,4,0,2,0,92.0,0,1,1,7,5,86,4,-1,0,3,0
350,58,5,1,0,0,69.0,0,0,0,29,1,76,8,-1,0,3,0
351,36,1,1,1,0,0.0,1,0,0,5,8,189,1,-1,0,3,0
352,35,7,2,1,0,2223.0,0,0,0,17,9,499,3,-1,0,3,0
353,48,1,1,1,0,1364.645545435511,1,0,0,16,0,255,2,318,5,1,0
354,45,2,0,2,0,-395.0,1,0,2,13,8,470,1,-1,0,3,1
355,36,0,1,2,0,0.0,1,0,0,22,5,62,1,-1,0,3,0
356,39,2,1,2,0,0.0,0,0,0,25,1,422,10,-1,0,3,0
357,44,0,0,1,0,397.0,1,1,0,16,3,127,1,257,1,1,1
358,32,9,1,2,0,2976.0,1,0,0,5,3,783,1,175,5,0,1
359,28,10,2,2,0,0.0,0,0,1,2,3,39,1,-1,0,3,0
360,43,4,1,2,0,1825.0,1,0,2,20,8,742,2,-1,0,3,0
361,32,9,2,2,0,388.0,1,0,0,22,1,119,2,-1,0,3,0
362,35,6,0,1,0,3443.0,0,0,0,30,5,409,4,-1,0,3,0
363,57,2,1,1,0,666.0,0,0,0,4,1,138,1,-1,0,3,0
364,31,7,1,1,1,-455.0,0,1,0,16,5,168,2,-1,0,3,0
365,32,1,2,1,0,623.0,1,0,0,20,0,-5,4,-1,0,3,0
366,33,0,1,1,0,252.0,1,0,0,22,5,270,2,-1,0,3,0
367,41,1,1,1,0,1364.645545435511,1,0,0,11,8,273,3,-1,0,3,0
368,38,4,2,1,0,53.0,0,0,2,9,6,280,1,-1,0,3,0
369,21,8,2,1,0,232.0,1,0,2,21,8,110,2,-1,0,3,0
370,44,9,1,1,0,1210.0,0,0,2,5,6,690,2,-1,0,3,0
371,33,9,2,1,0,2583.0,0,0,0,6,3,129,1,-1,0,3,0
372,23,9,2,1,0,283.0,1,0,0,22,11,175,1,184,2,2,1
373,27,7,1,1,0,199.0,0,0,0,4,3,108,2,195,6,0,0
374,56,4,0,2,0,66.0,0,1,0,30,5,72,4,-1,0,3,0
375,32,9,1,1,0,-413.0,1,0,0,13,1,100,2,-1,0,3,0
376,30,10,1,1,0,1364.645545435511,0,0,0,8,1,61,4,-1,0,3,0
377,34,1,2,1,0,381.0,1,0,2,12,8,102,1,-1,0,3,0
378,44,6,1,3,0,680.0,1,0,1,30,5,84,2,-1,0,3,0
379,42,6,0,1,0,484.0,1,0,0,21,9,321,3,127,3,0,0
