age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
56.0,management,married,tertiary,0,935.0,1,0,cellular,17,nov,140,1.0,0,0,unknown,0
,administrator,divorced,secondary,0,1232.0,0,0,cellular,5,feb,217,1.0,0,0,unknown,0
56.0,admin.,married,secondary,0,1290.0,0,0,unknown,12,jun,243,1.0,0,0,unknown,0
65.0,entrepreneur,married,tertiary,0,2331.0,0,0,telephone,11,aug,425,1.0,1,0,success,1
40.0,administrator,married,secondary,0,3138.0,0,0,cellular,12,aug,238,1.0,0,0,unknown,0
49.0,technician,married,secondary,0,412.0,0,0,cellular,19,aug,1293,8.0,0,0,unknown,1
29.0,blue-collar,married,secondary,0,-478.0,0,1,cellular,8,jul,528,2.0,0,0,unknown,0
28.0,technician,single,secondary,0,593.0,1,0,unknown,19,jun,202,1.0,0,0,unknown,0
36.0,management,single,tertiary,0,202.0,0,0,cellular,13,aug,150,4.0,0,0,unknown,0
29.0,entrepreneur,single,tertiary,0,135.0,1,0,cellular,12,may,245,1.0,1,0,failure,0
31.0,services,married,secondary,0,-163.0,1,0,cellular,21,jul,200,2.0,0,0,unknown,0
42.0,technician,single,secondary,0,716.0,1,0,cellular,21,nov,110,1.0,0,0,unknown,0
59.0,management,married,secondary,0,544.0,0,0,unknown,20,jun,67,2.0,0,0,unknown,0
55.0,management,divorced,tertiary,0,271.0,1,0,cellular,9,apr,191,4.0,0,0,unknown,0
34.0,self-employed,married,tertiary,0,13354.0,0,0,telephone,21,nov,26,5.0,0,0,unknown,0
43.0,entrepreneur,single,primary,0,2124.0,1,0,cellular,19,nov,104,1.0,0,0,unknown,0
38.0,entrepreneur,married,tertiary,0,228.0,1,0,cellular,5,feb,105,1.0,0,0,unknown,0
45.0,management,married,tertiary,0,226.0,1,0,,13,aug,177,6.0,1,1,success,1
26.0,management,divorced,tertiary,1,-402.0,0,1,unknown,12,may,127,2.0,0,0,unknown,0
54.0,retired,married,secondary,0,1154.0,1,0,telephone,3,feb,125,3.0,0,0,unknown,0
34.0,blue-collar,single,secondary,0,,1,1,unknown,5,may,346,1.0,0,0,unknown,0
57.0,technician,divorced,secondary,0,204.0,0,0,unknown,6,jun,97,5.0,0,0,unknown,0
42.0,blue-collar,married,primary,0,2273.0,1,0,cellular,18,nov,253,1.0,1,0,failure,0
42.0,management,single,tertiary,0,706.0,0,0,cellular,29,jan,132,,0,0,unknown,0
21.0,unemployed,single,secondary,0,1333.0,0,0,cellular,2,feb,120,1.0,0,0,unknown,0
47.0,technician,single,secondary,0,1710.0,0,1,cellular,16,jul,525,2.0,0,0,unknown,0
50.0,technician,married,tertiary,0,72.0,0,0,telephone,5,dec,12,1.0,0,0,unknown,0
57.0,management,divorced,unknown,0,0.0,0,0,cellular,27,mar,102,1.0,0,0,unknown,0
45.0,technician,married,secondary,0,1081.0,1,0,,17,jul,127,3.0,0,0,unknown,0
56.0,unemployed,single,primary,0,1110.0,0,0,cellular,4,feb,945,2.0,0,0,unknown,1
51.0,self-employed,married,primary,0,106.0,1,0,telephone,31,jul,240,2.0,0,0,unknown,0
28.0,blue-collar,married,secondary,0,2378.0,1,1,cellular,18,jul,800,6.0,0,0,unknown,0
43.0,services,married,primary,0,3.0,1,0,unknown,5,may,186,2.0,0,0,unknown,0
38.0,technician,single,secondary,0,-591.0,1,0,unknown,23,may,71,1.0,0,0,unknown,0
49.0,management,married,tertiary,0,85.0,1,0,cellular,14,may,590,5.0,1,0,other,1
42.0,blue-collar,married,secondary,0,505.0,1,0,cellular,15,may,117,1.0,0,0,unknown,0
,self-employed,married,tertiary,0,,1,0,cellular,4,feb,357,1.0,0,0,unknown,0
22.0,student,single,secondary,0,224.0,0,0,unknown,14,sep,5,1.0,0,0,unknown,0
41.0,blue-collar,married,primary,0,143.0,1,1,unknown,2,jun,659,2.0,0,0,unknown,1
51.0,administrator,divorced,secondary,0,2195.0,1,0,unknown,13,may,59,1.0,0,0,unknown,0
39.0,technician,married,tertiary,0,3911.0,1,0,cellular,18,nov,247,2.0,0,0,unknown,0
33.0,blue-collar,married,primary,0,,1,0,cellular,8,may,548,1.0,0,0,unknown,0
36.0,technician,single,secondary,0,1053.0,1,0,unknown,21,may,147,1.0,0,0,unknown,0
32.0,blue-collar,married,secondary,0,931.0,1,0,unknown,3,jun,409,1.0,0,0,unknown,0
53.0,administrator,divorced,secondary,0,-120.0,1,0,unknown,27,may,211,1.0,0,0,unknown,0
54.0,blue-collar,married,secondary,0,853.0,0,0,unknown,16,jun,24,5.0,0,0,unknown,0
38.0,blue-collar,single,secondary,0,711.0,1,0,cellular,24,feb,254,5.0,1,0,other,0
31.0,management,married,tertiary,0,233.0,1,0,cellular,14,may,241,2.0,1,1,failure,0
29.0,blue-collar,single,secondary,0,309.0,1,0,cellular,11,may,471,3.0,0,0,unknown,0
34.0,blue-collar,divorced,secondary,0,3798.0,1,0,unknown,23,may,488,,0,1,unknown,0
41.0,management,married,tertiary,0,97.0,0,0,cellular,18,nov,130,1.0,0,0,unknown,0
39.0,,married,primary,0,315.0,1,0,cellular,15,may,259,3.0,1,0,failure,0
44.0,services,married,secondary,0,634.0,1,0,cellular,20,apr,226,2.0,0,0,unknown,0
33.0,technician,single,tertiary,0,0.0,1,0,cellular,21,nov,654,,0,0,unknown,1
29.0,blue-collar,married,secondary,0,832.0,1,0,unknown,16,may,228,2.0,0,0,unknown,0
27.0,services,single,secondary,0,353.0,1,0,cellular,15,may,663,1.0,0,0,unknown,1
60.0,retired,married,secondary,0,2674.0,0,0,cellular,14,jul,96,2.0,0,0,unknown,0
30.0,technician,married,secondary,0,274.0,1,1,cellular,21,nov,105,5.0,1,0,failure,0
47.0,self-employed,married,unknown,0,935.0,1,0,unknown,6,may,225,1.0,0,0,unknown,0
35.0,services,married,secondary,0,27.0,1,1,cellular,5,may,442,2.0,1,0,failure,0
46.0,blue-collar,married,secondary,0,176.0,0,0,unknown,29,may,131,1.0,0,0,unknown,0
39.0,management,married,secondary,0,0.0,1,0,cellular,27,aug,63,3.0,0,0,unknown,0
30.0,unemployed,single,tertiary,0,306.0,0,0,cellular,6,feb,90,6.0,1,1,failure,0
32.0,management,single,tertiary,0,2974.0,1,0,cellular,20,apr,169,1.0,0,0,unknown,0
34.0,admin.,married,secondary,0,147.0,1,1,cellular,29,jul,57,7.0,0,0,unknown,0
38.0,blue-collar,married,secondary,0,1116.0,0,0,unknown,9,jun,80,3.0,0,0,unknown,0
41.0,blue-collar,married,primary,0,262.0,1,0,unknown,29,may,159,1.0,0,0,unknown,0
34.0,services,married,secondary,0,-315.0,1,0,unknown,8,may,56,2.0,0,0,unknown,0
30.0,technician,married,secondary,0,0.0,1,0,cellular,14,may,47,,0,0,unknown,0
33.0,blue-collar,married,tertiary,0,6138.0,1,0,cellular,19,nov,384,1.0,1,0,failure,0
27.0,blue-collar,single,tertiary,0,567.0,0,0,cellular,25,nov,238,2.0,1,0,success,1
26.0,services,married,secondary,0,-285.0,1,1,unknown,4,jun,279,1.0,0,0,unknown,0
52.0,housemaid,married,primary,0,310.0,0,1,unknown,12,jun,100,4.0,0,0,unknown,0
31.0,blue-collar,married,primary,0,229.0,0,0,telephone,8,jul,186,2.0,0,0,unknown,0
33.0,administrator,single,secondary,0,315.0,1,1,cellular,14,may,888,3.0,0,0,unknown,1
39.0,admin.,married,secondary,0,1757.0,0,0,telephone,28,oct,125,,0,0,unknown,1
34.0,blue-collar,married,primary,0,567.0,0,1,cellular,8,jul,241,3.0,0,0,unknown,0
50.0,technician,married,secondary,0,3263.0,1,0,cellular,23,jul,115,1.0,0,0,unknown,0
29.0,blue-collar,married,secondary,0,9.0,1,0,cellular,25,jul,236,8.0,0,0,unknown,0
45.0,administrator,divorced,unknown,0,857.0,0,0,,8,jul,49,7.0,0,0,unknown,0
30.0,technician,divorced,secondary,0,2403.0,0,0,cellular,20,aug,132,2.0,0,0,unknown,0
48.0,technician,married,primary,0,788.0,0,0,telephone,9,jul,36,2.0,0,0,unknown,0
33.0,management,divorced,secondary,0,321.0,0,1,cellular,30,jul,151,10.0,0,0,unknown,0
41.0,technician,married,secondary,0,,1,1,cellular,21,nov,285,,1,0,failure,0
31.0,self-employed,married,secondary,0,581.0,1,0,cellular,14,may,303,3.0,1,0,failure,0
31.0,services,married,secondary,0,182.0,0,0,cellular,20,aug,231,2.0,0,0,unknown,0
26.0,management,single,tertiary,0,2692.0,0,0,unknown,28,may,159,2.0,0,0,unknown,0
30.0,services,single,secondary,0,-172.0,1,1,cellular,17,apr,282,4.0,1,0,other,0
38.0,,married,secondary,0,507.0,1,0,unknown,8,may,95,1.0,0,0,unknown,0
44.0,management,married,secondary,0,2984.0,1,0,unknown,15,may,770,2.0,0,0,unknown,0
45.0,blue-collar,married,primary,0,1265.0,1,0,cellular,11,may,40,8.0,1,0,success,0
37.0,unemployed,single,secondary,0,443.0,0,0,cellular,29,jan,1600,1.0,0,0,unknown,1
57.0,blue-collar,married,primary,0,133.0,0,1,cellular,30,jul,173,4.0,0,0,unknown,0
38.0,blue-collar,married,secondary,0,702.0,0,0,unknown,17,jun,92,,0,0,unknown,0
47.0,administrator,married,primary,0,31.0,1,0,cellular,6,may,50,1.0,1,0,failure,0
41.0,technician,married,secondary,0,593.0,0,0,cellular,29,aug,95,6.0,0,0,unknown,0
39.0,technician,married,tertiary,0,1293.0,0,0,cellular,3,jun,-1,2.0,0,0,unknown,1
59.0,technician,divorced,secondary,0,-296.0,0,1,cellular,29,jan,34,1.0,0,0,unknown,0
31.0,technician,married,secondary,0,518.0,1,0,,25,aug,348,2.0,0,0,unknown,0
23.0,student,single,secondary,0,922.0,0,0,cellular,25,nov,242,1.0,1,1,failure,0
29.0,administrator,married,secondary,0,,1,0,unknown,2,jun,150,5.0,0,0,unknown,0
52.0,entrepreneur,divorced,tertiary,0,199.0,1,1,unknown,12,jun,246,2.0,0,0,unknown,0
49.0,services,married,secondary,0,7019.0,1,0,cellular,2,jun,263,1.0,1,0,failure,1
28.0,admin.,single,secondary,0,136.0,0,0,cellular,16,jun,355,1.0,0,0,unknown,1
34.0,technician,divorced,secondary,0,-324.0,0,0,cellular,14,aug,166,4.0,0,0,unknown,0
27.0,management,single,tertiary,0,828.0,0,0,cellular,30,apr,243,1.0,0,0,unknown,0
48.0,unemployed,married,primary,0,551.0,1,0,unknown,29,may,162,2.0,0,0,unknown,0
28.0,admin.,married,secondary,0,423.0,1,0,cellular,23,jul,245,1.0,0,0,unknown,0
27.0,services,married,secondary,0,58.0,1,0,cellular,7,may,113,1.0,1,0,other,0
32.0,management,divorced,tertiary,0,222.0,0,1,cellular,15,jul,820,4.0,0,0,unknown,1
48.0,technician,married,secondary,0,5.0,0,0,unknown,9,jun,65,6.0,0,0,unknown,0
35.0,unemployed,single,secondary,0,145.0,0,0,cellular,17,jul,354,1.0,0,0,unknown,0
33.0,admin.,married,secondary,0,347.0,1,0,cellular,9,feb,7,7.0,1,1,failure,0
32.0,management,single,tertiary,0,574.0,1,0,cellular,20,nov,171,1.0,1,0,failure,0
37.0,services,married,secondary,0,-601.0,1,0,cellular,11,jul,210,2.0,0,0,unknown,0
54.0,blue-collar,married,primary,0,-239.0,1,0,,23,may,29,1.0,0,0,unknown,0
54.0,services,married,secondary,0,88.0,1,0,unknown,13,may,190,1.0,0,0,unknown,0
55.0,blue-collar,divorced,primary,0,410.0,0,1,cellular,11,jul,221,2.0,0,0,unknown,0
39.0,services,married,secondary,0,104.0,1,0,cellular,20,apr,116,2.0,1,0,failure,0
42.0,technician,married,tertiary,0,1397.0,1,0,,6,feb,135,7.0,0,0,unknown,0
35.0,technician,single,secondary,0,1227.0,0,0,cellular,30,jul,1005,5.0,1,1,success,1
59.0,retired,divorced,secondary,0,602.0,0,0,unknown,20,jun,89,3.0,0,0,unknown,0
36.0,management,married,tertiary,0,274.0,0,0,cellular,13,aug,122,2.0,0,0,unknown,0
38.0,technician,single,secondary,0,2079.0,1,1,,29,may,122,1.0,0,0,unknown,0
24.0,admin.,single,tertiary,0,-61.0,0,0,cellular,11,mar,95,,0,0,unknown,1
30.0,management,married,tertiary,0,294.0,0,0,cellular,20,aug,605,4.0,0,0,unknown,0
39.0,management,married,tertiary,0,-124.0,0,1,cellular,22,jul,182,1.0,0,0,unknown,0
48.0,management,married,unknown,0,970.0,0,0,cellular,31,jul,67,2.0,0,0,unknown,0
38.0,blue-collar,married,primary,0,3289.0,0,0,unknown,9,jun,553,2.0,0,0,unknown,0
38.0,management,divorced,tertiary,0,151.0,1,0,cellular,17,jul,50,1.0,0,0,unknown,0
57.0,services,divorced,primary,0,1367.0,0,0,unknown,9,jun,144,3.0,0,0,unknown,0
39.0,management,married,tertiary,0,9579.0,1,0,cellular,18,nov,160,3.0,0,0,unknown,0
45.0,housemaid,married,tertiary,0,40.0,1,0,cellular,3,sep,81,1.0,1,0,failure,0
41.0,management,married,tertiary,0,783.0,1,0,cellular,14,jul,126,3.0,0,0,unknown,0
36.0,management,single,tertiary,0,156.0,0,0,cellular,22,aug,122,1.0,0,0,unknown,0
44.0,blue-collar,married,primary,0,-11.0,1,0,unknown,9,may,13,1.0,0,0,unknown,0
37.0,admin.,single,secondary,0,262.0,0,0,cellular,7,aug,305,1.0,1,0,other,0
51.0,entrepreneur,married,secondary,0,0.0,0,0,unknown,30,may,510,,0,0,unknown,0
38.0,blue-collar,married,primary,0,467.0,1,0,unknown,16,may,379,1.0,0,0,unknown,0
31.0,technician,single,secondary,0,137.0,0,0,cellular,27,aug,27,14.0,0,0,unknown,0
35.0,management,single,secondary,0,1031.0,1,0,cellular,22,jul,254,1.0,0,0,unknown,0
56.0,unemployed,married,secondary,0,1350.0,0,0,cellular,2,jun,211,1.0,0,0,unknown,0
32.0,self-employed,divorced,tertiary,0,3695.0,1,0,cellular,15,may,34,1.0,1,0,other,0
39.0,blue-collar,married,primary,0,,1,1,cellular,21,nov,229,2.0,0,0,unknown,0
26.0,services,married,secondary,0,-379.0,1,1,cellular,22,jul,1237,7.0,0,0,unknown,1
30.0,blue-collar,single,tertiary,0,4127.0,1,0,telephone,21,nov,47,4.0,0,0,unknown,0
29.0,blue-collar,married,secondary,0,358.0,0,0,cellular,21,jul,88,,0,0,unknown,0
39.0,admin.,single,secondary,0,4039.0,1,0,unknown,20,may,140,1.0,0,0,unknown,0
51.0,management,married,tertiary,0,248.0,1,1,cellular,17,nov,139,2.0,1,0,failure,0
37.0,administrator,single,secondary,0,3049.0,1,1,unknown,29,may,153,1.0,0,0,unknown,0
47.0,admin.,married,secondary,0,-1091.0,1,1,cellular,31,jul,153,4.0,0,0,unknown,0
33.0,blue-collar,single,secondary,0,2202.0,1,0,cellular,20,apr,372,2.0,0,0,unknown,0
53.0,,divorced,tertiary,0,647.0,1,0,unknown,16,may,512,6.0,0,0,unknown,0
28.0,student,married,tertiary,0,1.0,0,0,cellular,15,jul,92,4.0,0,0,unknown,0
33.0,technician,single,tertiary,0,154.0,0,0,cellular,4,jun,111,2.0,1,0,failure,0
31.0,technician,married,secondary,0,-119.0,1,0,cellular,18,may,9,5.0,0,0,unknown,0
40.0,management,single,tertiary,0,1509.0,0,0,cellular,12,may,333,1.0,1,0,failure,0
42.0,blue-collar,married,primary,0,-336.0,1,0,telephone,15,may,12,6.0,0,0,unknown,0
38.0,housemaid,single,tertiary,0,0.0,0,0,cellular,3,jun,137,3.0,0,0,unknown,0
39.0,blue-collar,married,secondary,0,971.0,1,1,unknown,1,jul,471,3.0,0,0,unknown,0
40.0,self-employed,married,tertiary,0,1498.0,0,0,cellular,4,feb,62,1.0,0,0,unknown,0
44.0,management,married,tertiary,0,226.0,1,0,cellular,17,nov,76,3.0,0,0,unknown,0
32.0,blue-collar,married,secondary,0,,1,0,cellular,14,nov,132,1.0,0,0,unknown,1
23.0,blue-collar,single,primary,0,382.0,0,0,cellular,15,jun,74,1.0,1,0,other,0
51.0,,single,primary,0,60.0,0,0,unknown,3,jul,93,1.0,0,0,unknown,0
33.0,administrator,married,secondary,0,1521.0,1,0,cellular,14,may,222,1.0,0,0,unknown,0
50.0,blue-collar,married,secondary,0,283.0,1,0,cellular,7,aug,226,3.0,0,0,unknown,0
39.0,blue-collar,married,primary,0,4.0,1,0,cellular,19,nov,206,5.0,0,0,unknown,0
38.0,,single,secondary,0,895.0,1,0,cellular,12,may,-5,1.0,0,0,unknown,1
56.0,technician,married,tertiary,0,52.0,0,0,unknown,20,jun,191,3.0,0,0,unknown,0
,management,single,tertiary,0,2306.0,0,0,cellular,18,aug,86,7.0,0,0,unknown,0
36.0,blue-collar,married,primary,0,1580.0,1,0,cellular,14,jul,615,3.0,0,0,unknown,0
60.0,retired,married,secondary,0,1853.0,0,0,cellular,11,aug,408,1.0,0,0,unknown,1
31.0,management,married,tertiary,0,351.0,0,0,cellular,21,aug,165,3.0,0,0,unknown,0
46.0,technician,divorced,secondary,0,129.0,0,0,unknown,25,jun,75,2.0,0,0,unknown,0
38.0,blue-collar,married,primary,0,2569.0,0,0,unknown,9,jun,172,1.0,0,0,unknown,0
49.0,technician,single,secondary,0,0.0,1,0,unknown,20,may,484,2.0,0,0,unknown,0
42.0,technician,single,tertiary,0,2157.0,1,1,unknown,15,may,260,1.0,0,0,unknown,0
36.0,management,married,tertiary,0,1594.0,1,0,,31,jul,544,5.0,0,0,unknown,0
54.0,blue-collar,married,secondary,0,1777.0,1,0,cellular,18,may,13,5.0,1,0,success,0
33.0,technician,single,tertiary,0,6127.0,0,0,cellular,8,aug,127,3.0,0,0,unknown,0
37.0,housemaid,married,primary,0,94.0,1,0,cellular,20,apr,114,2.0,0,0,unknown,0
47.0,management,married,tertiary,0,0.0,1,0,telephone,6,feb,138,4.0,0,0,other,0
42.0,blue-collar,married,primary,0,792.0,1,1,cellular,19,nov,611,2.0,1,1,other,0
36.0,blue-collar,married,primary,0,8326.0,1,0,unknown,27,may,20,4.0,0,0,unknown,0
40.0,blue-collar,married,primary,0,57.0,1,0,cellular,31,jul,1007,9.0,0,0,unknown,1
48.0,unemployed,married,primary,0,296.0,1,0,unknown,9,may,164,8.0,0,0,unknown,0
45.0,entrepreneur,divorced,tertiary,0,1273.0,1,1,cellular,20,nov,206,2.0,1,0,failure,0
29.0,blue-collar,married,secondary,0,177.0,1,0,unknown,12,may,146,3.0,0,0,unknown,0
35.0,technician,divorced,secondary,0,-94.0,1,0,unknown,26,may,114,2.0,0,0,unknown,0
52.0,blue-collar,married,primary,0,1271.0,0,0,cellular,18,aug,131,3.0,0,0,unknown,0
35.0,retired,single,secondary,0,527.0,0,1,unknown,2,jul,348,3.0,0,0,unknown,0
50.0,housemaid,married,secondary,0,0.0,1,0,cellular,22,jul,160,1.0,0,0,unknown,0
50.0,administrator,married,secondary,0,697.0,0,0,cellular,14,aug,118,4.0,0,0,unknown,0
,management,married,tertiary,0,1033.0,1,0,unknown,15,may,71,1.0,0,0,unknown,0
34.0,management,single,tertiary,0,421.0,0,0,cellular,11,aug,383,3.0,0,0,unknown,0
43.0,blue-collar,married,primary,0,445.0,1,0,unknown,15,sep,173,1.0,0,0,unknown,0
60.0,management,divorced,unknown,0,404.0,1,0,unknown,9,may,95,2.0,0,0,unknown,0
