age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
56.0,retired,married,secondary,0,393.0,0,1,cellular,17,dec,103,1.0,1,0,failure
51.0,blue-collar,married,primary,0,296.0,1,0,cellular,4,may,211,5.0,0,0,unknown
59.0,retired,married,primary,0,0.0,1,0,cellular,29,jul,45,7.0,0,0,unknown
44.0,technician,divorced,secondary,0,1196.0,1,0,unknown,27,may,202,1.0,0,0,unknown
43.0,management,divorced,tertiary,0,221.0,1,0,cellular,11,may,313,1.0,1,0,failure
54.0,management,married,tertiary,1,-248.0,1,1,unknown,7,may,112,1.0,0,0,unknown
50.0,management,married,tertiary,0,2881.0,0,0,cellular,5,aug,510,2.0,0,0,other
28.0,blue-collar,married,primary,0,459.0,1,1,unknown,3,jun,178,1.0,0,0,unknown
26.0,blue-collar,divorced,secondary,0,0.0,1,0,unknown,19,may,48,3.0,0,0,unknown
45.0,administrator,married,secondary,0,0.0,1,0,cellular,8,jul,376,1.0,0,0,unknown
44.0,technician,married,secondary,0,584.0,0,0,cellular,30,jun,78,1.0,0,0,unknown
27.0,administrator,married,tertiary,0,,0,0,cellular,11,oct,212,1.0,0,0,unknown
25.0,management,single,tertiary,0,1.0,1,0,cellular,13,may,9,5.0,0,0,unknown
46.0,blue-collar,married,primary,0,648.0,0,0,cellular,14,aug,59,4.0,0,0,unknown
38.0,technician,married,tertiary,0,202.0,0,0,cellular,5,aug,1311,2.0,0,0,unknown
36.0,services,married,tertiary,0,0.0,1,0,cellular,8,may,52,1.0,0,0,unknown
31.0,blue-collar,married,tertiary,0,433.0,0,1,cellular,3,feb,114,1.0,0,0,unknown
40.0,services,married,secondary,0,-80.0,1,0,unknown,2,jun,147,,0,0,unknown
53.0,,married,tertiary,0,6525.0,1,0,unknown,2,jun,73,3.0,0,0,unknown
26.0,blue-collar,single,secondary,0,191.0,1,0,cellular,6,may,550,1.0,0,0,unknown
45.0,blue-collar,married,primary,1,-443.0,1,1,cellular,20,apr,691,1.0,0,0,unknown
52.0,technician,married,secondary,0,2095.0,1,1,,19,aug,419,4.0,0,0,unknown
60.0,management,married,tertiary,0,70.0,0,0,cellular,21,aug,36,1.0,0,0,unknown
54.0,management,divorced,tertiary,0,427.0,1,1,cellular,4,feb,85,2.0,1,0,other
40.0,administrator,married,secondary,0,0.0,1,1,cellular,9,jul,145,1.0,0,0,unknown
65.0,retired,divorced,secondary,0,828.0,0,0,cellular,13,jul,305,1.0,0,0,unknown
29.0,self-employed,single,tertiary,0,805.0,0,0,cellular,1,jul,302,2.0,1,1,success
43.0,management,married,tertiary,0,2759.0,1,1,cellular,8,aug,329,2.0,0,0,unknown
39.0,management,married,tertiary,0,119.0,1,0,cellular,1,sep,265,2.0,1,0,success
41.0,admin.,single,secondary,0,-256.0,0,1,unknown,9,may,35,3.0,0,0,unknown
33.0,technician,married,secondary,0,844.0,1,0,cellular,23,jul,476,3.0,0,0,unknown
49.0,management,married,tertiary,0,1468.0,1,0,cellular,28,jul,88,3.0,0,0,unknown
34.0,,divorced,secondary,0,354.0,1,0,unknown,9,may,308,1.0,0,0,unknown
45.0,housemaid,divorced,primary,0,221.0,0,0,cellular,2,feb,93,1.0,1,0,failure
43.0,unemployed,single,tertiary,0,983.0,1,0,cellular,26,feb,97,1.0,0,0,unknown
29.0,self-employed,single,secondary,0,970.0,1,0,cellular,13,may,240,1.0,0,0,unknown
29.0,services,single,secondary,0,192.0,0,0,cellular,30,jan,327,4.0,0,0,unknown
44.0,blue-collar,married,secondary,0,1127.0,0,0,cellular,16,jun,399,1.0,0,0,unknown
50.0,blue-collar,married,secondary,0,825.0,1,0,cellular,16,apr,18,3.0,1,0,failure
58.0,services,divorced,secondary,0,739.0,1,0,cellular,20,apr,304,7.0,1,0,failure
42.0,blue-collar,married,primary,0,969.0,1,0,cellular,13,may,721,1.0,0,0,unknown
34.0,blue-collar,married,unknown,0,0.0,1,0,cellular,7,may,183,1.0,0,0,unknown
36.0,administrator,single,secondary,0,206.0,1,0,unknown,8,may,183,1.0,0,0,unknown
37.0,blue-collar,married,secondary,0,298.0,1,0,cellular,31,jul,10,6.0,0,0,unknown
36.0,self-employed,married,primary,0,1094.0,1,0,cellular,8,apr,291,,1,0,failure
59.0,housemaid,married,primary,0,1071.0,0,0,unknown,19,jun,140,1.0,0,0,unknown
46.0,services,married,secondary,0,111.0,0,0,cellular,13,aug,78,2.0,0,0,unknown
56.0,blue-collar,married,secondary,0,,1,0,cellular,14,aug,265,2.0,0,0,unknown
53.0,unemployed,married,tertiary,0,240.0,0,0,cellular,29,aug,106,3.0,0,0,unknown
37.0,technician,married,secondary,0,,1,0,cellular,18,nov,291,2.0,0,0,unknown
29.0,technician,single,tertiary,0,828.0,1,0,cellular,16,apr,215,3.0,1,0,other
31.0,management,single,tertiary,0,385.0,1,0,unknown,21,may,304,1.0,0,0,unknown
37.0,services,married,secondary,0,,0,0,unknown,5,jun,232,1.0,0,0,unknown
47.0,admin.,married,unknown,0,66.0,0,0,cellular,7,aug,358,1.0,0,0,unknown
49.0,services,single,secondary,0,133.0,0,0,unknown,11,jun,319,6.0,0,0,unknown
56.0,entrepreneur,divorced,primary,0,29.0,0,0,cellular,29,jan,52,2.0,1,0,failure
50.0,technician,divorced,secondary,0,0.0,1,0,cellular,13,aug,120,2.0,1,0,failure
,services,divorced,secondary,0,440.0,1,0,cellular,5,feb,103,1.0,1,0,failure
26.0,admin.,single,secondary,0,82.0,1,0,unknown,5,may,228,1.0,0,0,unknown
44.0,blue-collar,married,secondary,0,1697.0,1,0,unknown,4,jul,150,2.0,0,0,unknown
48.0,management,divorced,tertiary,0,2263.0,0,0,cellular,29,jul,874,2.0,0,0,unknown
39.0,technician,single,tertiary,0,1522.0,1,0,cellular,28,aug,15,8.0,0,0,unknown
34.0,management,married,tertiary,0,436.0,0,1,cellular,28,jul,118,4.0,0,0,unknown
43.0,administrator,married,secondary,0,584.0,0,0,unknown,20,jun,27,1.0,0,0,unknown
44.0,management,married,tertiary,0,612.0,1,0,unknown,29,may,88,2.0,0,0,unknown
54.0,blue-collar,married,secondary,0,-135.0,1,0,cellular,14,may,152,3.0,1,0,failure
35.0,technician,divorced,secondary,0,56.0,0,0,cellular,29,aug,24,12.0,0,0,unknown
27.0,blue-collar,single,primary,0,5.0,1,0,cellular,18,may,182,1.0,0,0,unknown
34.0,services,single,secondary,0,1921.0,1,0,cellular,4,feb,61,1.0,0,0,unknown
57.0,management,married,primary,0,1052.0,1,0,unknown,13,may,227,4.0,0,0,unknown
38.0,blue-collar,single,primary,0,3132.0,0,0,cellular,5,feb,304,1.0,0,0,unknown
34.0,management,single,tertiary,0,11350.0,1,0,cellular,20,nov,159,1.0,0,0,unknown
56.0,blue-collar,divorced,secondary,0,934.0,0,0,cellular,29,jul,375,2.0,0,0,unknown
,student,single,unknown,0,468.0,0,0,cellular,4,feb,270,2.0,0,0,unknown
44.0,,married,primary,0,622.0,1,0,unknown,21,feb,66,1.0,0,0,unknown
57.0,blue-collar,married,primary,0,-238.0,0,0,unknown,27,jun,79,1.0,0,0,unknown
52.0,services,divorced,secondary,0,1635.0,1,0,unknown,13,may,730,1.0,0,0,unknown
38.0,management,married,tertiary,0,595.0,1,0,cellular,18,nov,70,,0,0,unknown
35.0,admin.,single,tertiary,0,5007.0,1,0,cellular,11,nov,133,1.0,1,0,failure
36.0,technician,divorced,secondary,0,664.0,1,1,cellular,30,jul,266,4.0,0,0,unknown
38.0,management,married,tertiary,0,0.0,1,0,telephone,20,nov,25,2.0,0,0,unknown
46.0,admin.,married,unknown,0,-1092.0,1,0,cellular,12,may,75,5.0,0,0,unknown
25.0,management,single,tertiary,0,99.0,1,1,unknown,16,may,102,4.0,0,0,unknown
31.0,student,married,primary,0,46.0,1,0,cellular,10,jul,487,1.0,0,0,unknown
40.0,management,married,tertiary,0,66.0,0,0,cellular,13,aug,737,4.0,0,0,unknown
44.0,technician,single,tertiary,0,2033.0,0,0,cellular,3,sep,444,1.0,1,0,failure
31.0,blue-collar,single,secondary,0,707.0,1,0,cellular,18,may,52,2.0,0,0,unknown
36.0,services,single,secondary,0,417.0,1,0,cellular,6,feb,15,10.0,1,0,failure
40.0,blue-collar,married,primary,0,0.0,1,0,unknown,5,may,463,1.0,0,0,unknown
29.0,technician,single,secondary,0,6.0,0,0,cellular,25,may,315,1.0,0,0,unknown
35.0,management,married,tertiary,0,16.0,0,0,cellular,19,nov,185,1.0,0,0,unknown
42.0,technician,married,secondary,0,1865.0,1,0,unknown,15,may,164,1.0,0,0,unknown
30.0,blue-collar,married,secondary,0,319.0,0,0,cellular,27,jan,210,2.0,0,0,unknown
44.0,blue-collar,married,primary,0,1265.0,1,0,cellular,16,jul,555,1.0,0,0,unknown
33.0,blue-collar,married,secondary,0,686.0,1,1,telephone,14,may,30,,1,1,other
48.0,technician,married,secondary,0,256.0,1,0,unknown,29,may,150,4.0,0,0,unknown
32.0,management,single,tertiary,0,1804.0,1,0,unknown,20,jun,73,3.0,0,0,unknown
53.0,technician,single,primary,0,481.0,0,0,cellular,18,nov,399,1.0,0,0,unknown
31.0,blue-collar,married,primary,0,7424.0,1,0,unknown,21,oct,54,1.0,0,0,unknown
44.0,unknown,married,secondary,0,2319.0,0,0,cellular,4,aug,251,3.0,0,0,unknown
41.0,management,married,secondary,0,148.0,0,0,cellular,29,aug,82,9.0,0,0,unknown
58.0,management,single,unknown,0,127.0,1,0,unknown,9,may,244,5.0,0,0,unknown
28.0,admin.,married,secondary,0,-76.0,1,0,cellular,18,may,143,1.0,0,0,unknown
23.0,student,single,secondary,0,1298.0,0,0,cellular,14,jul,603,1.0,0,0,unknown
32.0,services,married,secondary,0,386.0,0,0,cellular,12,aug,305,3.0,1,0,failure
49.0,self-employed,married,secondary,0,294.0,1,0,unknown,2,jun,230,3.0,0,0,unknown
32.0,management,single,tertiary,0,1169.0,1,0,unknown,21,may,322,2.0,0,0,unknown
46.0,blue-collar,married,secondary,0,0.0,1,0,cellular,23,jul,122,1.0,0,0,unknown
33.0,entrepreneur,married,unknown,0,73.0,1,0,cellular,11,aug,156,1.0,1,0,failure
32.0,management,single,tertiary,0,156.0,1,0,cellular,4,feb,82,2.0,1,0,failure
39.0,management,single,tertiary,0,257.0,0,0,cellular,7,jul,58,1.0,0,0,unknown
51.0,blue-collar,married,primary,0,2832.0,1,0,cellular,20,apr,122,4.0,1,1,other
50.0,blue-collar,married,primary,0,216.0,1,0,cellular,17,jul,195,3.0,0,0,unknown
25.0,services,single,secondary,0,94.0,0,0,unknown,25,feb,32,1.0,0,0,unknown
38.0,blue-collar,married,primary,0,195.0,1,0,cellular,15,may,165,2.0,0,0,unknown
53.0,housemaid,,primary,1,945.0,0,0,cellular,29,jan,82,2.0,0,0,unknown
36.0,technician,married,secondary,0,196.0,1,0,cellular,20,aug,687,2.0,0,0,unknown
32.0,administrator,single,secondary,0,458.0,0,1,cellular,23,jul,125,,0,0,unknown
58.0,retired,married,primary,0,1980.0,0,0,cellular,5,jun,255,1.0,0,0,unknown
46.0,blue-collar,married,secondary,0,2297.0,0,0,telephone,31,jul,16,4.0,0,0,unknown
35.0,services,divorced,secondary,0,-504.0,0,0,cellular,10,jul,228,1.0,0,0,unknown
33.0,technician,married,secondary,0,2746.0,1,0,cellular,18,nov,188,2.0,0,0,unknown
33.0,administrator,single,tertiary,0,2.0,0,0,cellular,29,jan,132,2.0,0,0,unknown
44.0,blue-collar,married,primary,0,858.0,1,0,unknown,21,may,362,5.0,0,0,unknown
31.0,management,single,tertiary,0,0.0,1,0,cellular,15,apr,185,2.0,0,0,unknown
30.0,blue-collar,divorced,secondary,0,251.0,1,1,unknown,7,may,120,2.0,0,0,unknown
41.0,administrator,divorced,secondary,0,4.0,1,0,cellular,5,feb,232,1.0,1,0,failure
34.0,admin.,single,secondary,0,1880.0,1,0,unknown,23,may,297,1.0,0,0,unknown
34.0,management,single,tertiary,0,2646.0,0,0,cellular,14,apr,142,1.0,0,0,unknown
55.0,blue-collar,married,secondary,0,89.0,1,0,unknown,5,may,106,3.0,0,0,unknown
43.0,blue-collar,married,primary,0,2317.0,0,0,cellular,28,jan,412,1.0,0,0,unknown
44.0,blue-collar,married,primary,0,93.0,1,0,cellular,17,nov,230,1.0,0,0,unknown
32.0,management,single,tertiary,0,473.0,1,0,cellular,11,may,72,2.0,1,0,other
40.0,services,married,secondary,0,376.0,1,1,unknown,11,jun,268,2.0,0,0,unknown
33.0,management,married,secondary,0,3132.0,1,0,unknown,23,may,350,5.0,0,0,unknown
29.0,administrator,single,secondary,0,196.0,0,0,telephone,2,feb,268,1.0,0,0,unknown
58.0,technician,married,secondary,0,0.0,1,0,cellular,5,feb,1823,1.0,1,0,failure
35.0,services,married,secondary,0,1728.0,1,0,cellular,17,apr,865,1.0,0,0,unknown
27.0,services,single,secondary,0,-195.0,1,0,cellular,18,may,391,1.0,0,0,unknown
31.0,services,single,secondary,0,,0,0,cellular,4,may,200,1.0,1,0,failure
33.0,administrator,divorced,secondary,0,661.0,1,0,cellular,4,may,90,4.0,1,0,failure
56.0,,married,unknown,0,0.0,0,0,unknown,20,jun,39,8.0,0,0,unknown
33.0,blue-collar,married,secondary,0,1130.0,1,0,cellular,7,apr,1063,1.0,0,0,unknown
34.0,services,single,secondary,0,1701.0,1,0,unknown,21,may,245,1.0,0,0,unknown
52.0,administrator,single,secondary,0,-346.0,1,1,unknown,19,may,147,3.0,0,0,unknown
53.0,management,married,secondary,0,-264.0,0,1,cellular,2,feb,150,1.0,0,0,unknown
,management,married,tertiary,0,0.0,0,0,telephone,16,jul,41,6.0,0,0,unknown
26.0,student,single,secondary,0,0.0,0,0,cellular,27,may,107,2.0,0,0,unknown
46.0,services,divorced,secondary,0,0.0,0,0,unknown,20,jun,1023,3.0,0,0,unknown
39.0,self-employed,divorced,secondary,0,0.0,1,0,unknown,23,may,210,2.0,0,0,unknown
38.0,admin.,married,secondary,0,0.0,1,0,,23,may,353,2.0,0,0,unknown
40.0,admin.,married,secondary,0,1327.0,1,1,unknown,26,may,76,2.0,0,0,unknown
53.0,retired,single,tertiary,0,888.0,1,0,cellular,9,jul,128,1.0,0,0,unknown
45.0,self-employed,single,primary,0,112.0,0,0,unknown,20,jun,298,4.0,0,0,unknown
46.0,blue-collar,married,primary,0,620.0,1,0,cellular,20,aug,174,2.0,0,0,unknown
52.0,admin.,married,secondary,0,7742.0,0,0,cellular,11,aug,149,3.0,0,0,unknown
47.0,self-employed,divorced,secondary,0,8515.0,1,0,unknown,20,nov,14,7.0,1,0,other
24.0,student,single,secondary,0,228.0,0,0,cellular,20,aug,99,1.0,1,0,failure
30.0,management,single,tertiary,0,112.0,1,1,cellular,12,may,451,2.0,1,0,failure
23.0,,single,tertiary,0,736.0,1,0,,30,apr,119,1.0,0,0,unknown
31.0,technician,married,secondary,0,793.0,0,0,cellular,19,nov,755,1.0,0,0,unknown
38.0,unknown,married,unknown,0,124.0,1,0,unknown,20,may,37,13.0,0,0,unknown
48.0,technician,divorced,secondary,0,-154.0,0,0,unknown,3,jun,342,3.0,0,0,unknown
26.0,technician,single,secondary,0,3382.0,0,0,cellular,24,jul,844,5.0,0,0,unknown
60.0,blue-collar,divorced,primary,0,7601.0,1,0,unknown,8,may,285,1.0,0,0,unknown
51.0,blue-collar,married,secondary,0,1414.0,1,0,unknown,17,nov,422,3.0,1,0,failure
41.0,technician,married,secondary,0,-329.0,0,0,telephone,5,feb,13,8.0,1,1,other
37.0,entrepreneur,married,secondary,0,2055.0,1,1,cellular,10,jul,241,4.0,0,0,unknown
,,divorced,secondary,0,258.0,0,0,unknown,17,jun,88,2.0,0,0,unknown
31.0,blue-collar,single,primary,0,2369.0,1,0,cellular,18,may,87,1.0,0,0,unknown
52.0,technician,married,secondary,0,291.0,0,0,unknown,8,may,143,1.0,0,0,unknown
41.0,blue-collar,single,secondary,0,1080.0,1,1,unknown,8,may,192,4.0,0,0,unknown
30.0,management,single,tertiary,0,0.0,0,0,,28,aug,62,7.0,0,0,unknown
28.0,unemployed,single,tertiary,0,1638.0,0,0,cellular,29,jan,238,1.0,0,0,unknown
40.0,technician,married,tertiary,0,602.0,1,0,cellular,15,may,145,4.0,1,0,failure
27.0,blue-collar,single,primary,0,140.0,0,0,telephone,28,jan,183,2.0,0,0,unknown
37.0,,single,secondary,0,415.0,0,0,unknown,18,jun,203,1.0,0,0,unknown
54.0,unemployed,single,secondary,0,380.0,0,0,cellular,17,nov,696,,0,0,unknown
58.0,services,married,secondary,0,,1,0,cellular,20,nov,161,7.0,0,0,unknown
54.0,entrepreneur,married,unknown,0,1021.0,0,0,unknown,20,jun,13,7.0,0,0,unknown
32.0,technician,married,secondary,0,767.0,1,1,cellular,4,feb,42,1.0,0,0,unknown
45.0,management,divorced,tertiary,1,-946.0,1,0,cellular,13,may,213,1.0,0,0,unknown
41.0,services,married,unknown,0,88.0,1,0,cellular,11,may,105,1.0,1,0,failure
41.0,technician,married,secondary,0,55.0,1,0,cellular,6,aug,185,4.0,0,0,unknown
30.0,entrepreneur,married,primary,0,495.0,1,0,cellular,17,apr,384,2.0,0,0,unknown
40.0,management,married,tertiary,0,373.0,1,1,unknown,13,may,518,1.0,0,0,unknown
48.0,management,single,tertiary,0,1437.0,1,1,unknown,17,jun,34,2.0,0,0,unknown
55.0,housemaid,married,primary,0,211.0,0,0,cellular,18,aug,111,3.0,0,0,unknown
51.0,entrepreneur,married,tertiary,0,228.0,1,0,cellular,7,may,72,1.0,0,0,unknown
40.0,services,married,unknown,0,4075.0,1,0,unknown,16,jun,162,3.0,0,0,unknown
32.0,management,married,tertiary,0,263.0,0,0,cellular,22,aug,175,1.0,0,0,unknown
35.0,blue-collar,married,secondary,0,-461.0,0,0,unknown,23,may,339,1.0,0,0,unknown
30.0,self-employed,single,tertiary,0,1259.0,0,0,cellular,20,nov,435,1.0,0,0,unknown
32.0,unemployed,married,secondary,0,869.0,1,0,cellular,29,jan,177,1.0,0,0,unknown
29.0,,married,tertiary,0,340.0,1,0,cellular,11,may,21,6.0,0,0,unknown
42.0,management,married,tertiary,0,254.0,0,0,cellular,9,dec,288,7.0,1,0,success
47.0,technician,divorced,secondary,0,1573.0,1,0,unknown,26,may,130,1.0,0,0,unknown
35.0,entrepreneur,single,secondary,0,475.0,0,1,cellular,21,jul,936,4.0,0,0,unknown
43.0,unknown,married,primary,0,2113.0,0,0,cellular,29,jul,33,2.0,0,0,unknown
,management,divorced,tertiary,0,607.0,1,1,unknown,8,may,240,3.0,0,0,unknown
36.0,management,married,tertiary,0,86.0,1,0,cellular,3,sep,104,1.0,1,0,failure
49.0,management,married,tertiary,0,502.0,0,0,cellular,22,aug,379,4.0,0,0,unknown
31.0,management,single,tertiary,0,2137.0,0,0,cellular,6,feb,132,1.0,0,0,unknown
32.0,admin.,single,tertiary,0,3188.0,0,0,cellular,5,feb,65,2.0,1,0,other
58.0,blue-collar,married,secondary,0,1457.0,1,0,cellular,8,jul,144,4.0,0,0,unknown
30.0,student,single,secondary,0,3096.0,0,0,cellular,2,aug,226,3.0,1,0,failure
35.0,management,single,tertiary,0,643.0,1,0,unknown,23,may,322,1.0,0,0,unknown
40.0,services,divorced,secondary,0,1062.0,1,0,cellular,15,apr,389,2.0,1,0,failure
36.0,blue-collar,single,secondary,0,2390.0,1,0,unknown,20,may,446,12.0,0,0,unknown
,services,divorced,secondary,0,49.0,1,0,unknown,16,may,619,2.0,0,0,unknown
,services,married,secondary,0,1553.0,1,0,unknown,27,may,492,8.0,0,0,unknown
27.0,services,single,secondary,0,468.0,1,0,cellular,13,may,109,1.0,0,0,unknown
34.0,technician,married,secondary,0,883.0,0,0,cellular,14,aug,163,3.0,0,0,unknown
35.0,technician,divorced,unknown,0,244.0,0,0,cellular,21,jul,54,10.0,0,0,unknown
35.0,housemaid,married,primary,0,113.0,1,0,cellular,17,jul,923,2.0,0,0,unknown
33.0,housemaid,married,secondary,0,8.0,1,0,cellular,14,aug,425,4.0,0,0,unknown
49.0,technician,married,unknown,0,15.0,0,0,unknown,6,may,92,2.0,0,0,unknown
31.0,management,single,tertiary,0,23.0,1,0,cellular,7,may,98,1.0,0,0,unknown
34.0,technician,married,tertiary,0,2656.0,1,0,cellular,24,jul,302,1.0,0,0,unknown
49.0,management,divorced,secondary,0,4908.0,0,0,cellular,31,jul,42,4.0,0,0,unknown
41.0,management,married,tertiary,0,1204.0,1,1,cellular,13,may,310,2.0,0,0,unknown
30.0,technician,single,secondary,0,0.0,0,0,cellular,22,aug,79,5.0,0,0,unknown
41.0,blue-collar,divorced,primary,0,1887.0,0,0,unknown,12,jun,168,2.0,0,0,unknown
44.0,management,married,tertiary,0,1945.0,0,0,unknown,14,may,191,1.0,0,0,unknown
34.0,technician,single,secondary,0,0.0,0,0,cellular,19,aug,130,2.0,0,0,unknown
30.0,management,single,tertiary,0,78.0,1,0,unknown,15,may,73,2.0,0,0,unknown
26.0,technician,married,tertiary,0,2026.0,0,0,,22,may,43,1.0,0,0,unknown
41.0,management,married,tertiary,0,-4.0,1,0,cellular,8,may,72,1.0,1,0,failure
60.0,retired,divorced,tertiary,0,4.0,1,0,cellular,2,dec,415,1.0,1,0,failure
30.0,technician,single,secondary,0,194.0,0,1,cellular,27,aug,60,3.0,0,0,unknown
35.0,blue-collar,divorced,primary,0,289.0,1,0,cellular,13,may,296,1.0,0,0,unknown
52.0,services,married,secondary,0,1645.0,0,0,cellular,28,aug,-1,1.0,0,0,unknown
34.0,technician,single,secondary,0,,1,0,unknown,27,may,280,1.0,0,0,unknown
33.0,admin.,married,secondary,0,0.0,1,0,cellular,10,jul,181,1.0,0,0,unknown
24.0,student,single,secondary,0,125.0,0,0,cellular,11,aug,477,,0,0,unknown
29.0,blue-collar,married,secondary,0,-191.0,0,1,cellular,14,jul,115,2.0,0,0,unknown
50.0,management,married,secondary,1,421.0,0,0,cellular,20,nov,22,5.0,0,0,unknown
45.0,admin.,single,secondary,0,276.0,0,1,unknown,9,jun,346,2.0,0,0,unknown
62.0,unknown,married,secondary,0,367.0,0,0,telephone,7,sep,221,1.0,1,0,failure
33.0,management,single,tertiary,0,321.0,0,0,cellular,22,aug,227,2.0,0,0,unknown
48.0,management,single,tertiary,0,,1,1,cellular,8,may,76,1.0,0,0,unknown
,housemaid,divorced,secondary,0,0.0,0,0,unknown,17,jun,98,1.0,0,0,unknown
50.0,management,married,tertiary,0,619.0,1,0,telephone,25,jul,219,2.0,0,0,unknown
47.0,unemployed,married,tertiary,0,1725.0,1,1,cellular,30,oct,183,2.0,0,0,unknown
31.0,technician,single,tertiary,0,-749.0,1,1,cellular,29,jul,82,4.0,0,0,unknown
58.0,blue-collar,married,unknown,0,807.0,1,0,cellular,7,may,57,1.0,1,0,failure
29.0,management,single,unknown,0,698.0,0,0,cellular,8,feb,186,1.0,0,0,unknown
56.0,technician,married,secondary,0,1093.0,0,0,cellular,7,aug,89,4.0,0,0,unknown
41.0,management,married,tertiary,1,852.0,1,1,cellular,27,aug,157,10.0,0,0,unknown
35.0,administrator,married,secondary,0,907.0,0,1,unknown,2,jul,97,4.0,0,0,unknown
24.0,unemployed,single,tertiary,1,-164.0,1,1,cellular,24,jul,117,4.0,0,0,unknown
48.0,entrepreneur,married,primary,0,2675.0,0,0,cellular,20,nov,123,1.0,0,0,unknown
