,age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,pdays,previous,poutcome,y
62,32.0,administrator,divorced,secondary,no,540.0,yes,n,cellular,1,74,1.0,-1,0.0,unknown,no
63,40.0,administrator,married,primary,no,2635.0,yes,n,unknown,6,20,20.0,-1,0.0,unknown,no
64,45.0,management,single,tertiary,no,2067.0,yes,n,cellular,8,393,2.0,462,1.0,success,yes
65,26.0,management,single,tertiary,no,45.0,no,no,cellular,7,1187,3.0,-1,0.0,unknown,yes
66,32.0,blue-collar,single,secondary,no,82.0,yes,no,cellular,7,86,4.0,-1,0.0,unknown,no
67,35.0,administrator,divorced,secondary,no,356.0,yes,no,unknown,5,76,1.0,-1,0.0,unknown,no
68,34.0,services,married,secondary,no,703.0,no,no,cellular,4,282,2.0,150,2.0,failure,no
69,50.0,blue-collar,married,primary,no,2610.0,yes,yes,unknown,5,181,6.0,-1,0.0,unknown,no
70,42.0,technician,single,secondary,no,146.0,no,n,cellular,8,229,2.0,-1,0.0,unknown,no
71,36.0,services,divorced,secondary,no,54.0,yes,n,cellular,11,355,6.0,-1,0.0,unknown,no
72,60.0,administrator,married,primary,no,10000.0,no,no,unknown,6,200,1.0,-1,0.0,unknown,no
73,25.0,administrator,single,secondary,no,131.0,yes,y,unknown,5,237,1.0,-1,0.0,unknown,no
74,39.0,blue-collar,married,primary,no,1564.0,no,no,unknown,6,57,1.0,-1,0.0,unknown,no
75,32.0,technician,married,secondary,no,-95.0,yes,no,cellular,7,935,4.0,-1,0.0,unknown,no
76,50.0,administrator,married,secondary,no,-731.0,yes,n,cellular,7,401,4.0,-1,0.0,unknown,no
77,32.0,blue-collar,divorced,primary,no,-191.0,yes,n,unknown,5,755,1.0,-1,0.0,unknown,yes
78,34.0,administrator,married,secondary,no,3990.0,yes,n,cellular,7,633,7.0,-1,0.0,unknown,no
79,34.0,blue-collar,married,primary,no,3527.0,yes,no,cellular,11,1022,1.0,-1,0.0,unknown,yes
80,51.0,management,divorced,tertiary,no,492.0,no,yes,cellular,7,54,7.0,-1,0.0,unknown,no
81,37.0,management,married,tertiary,yes,0.0,no,n,cellular,11,44,1.0,123,2.0,failure,no
82,63.0,retired,married,secondary,no,1486.0,no,no,cellular,5,698,5.0,316,3.0,other,no
83,59.0,retired,married,primary,no,0.0,no,no,unknown,6,39,1.0,-1,0.0,unknown,no
84,36.0,technician,divorced,secondary,no,861.0,no,no,telephone,8,140,2.0,-1,0.0,unknown,no
85,38.0,technician,single,secondary,no,145.0,yes,no,unknown,5,109,2.0,-1,0.0,unknown,no
86,34.0,student,single,unknown,no,242.0,no,no,telephone,3,364,2.0,244,2.0,failure,no
87,36.0,administrator,married,tertiary,no,1584.0,yes,no,cellular,7,178,1.0,-1,0.0,unknown,no
88,70.0,retired,married,primary,no,2346.0,no,n,cellular,6,421,1.0,97,6.0,success,no
89,51.0,administrator,married,primary,no,176.0,no,yes,cellular,8,80,2.0,-1,0.0,unknown,no
90,44.0,management,married,secondary,no,3286.0,yes,no,cellular,7,569,1.0,-1,0.0,unknown,no
91,53.0,administrator,married,unknown,no,13.0,no,n,telephone,1,69,1.0,-1,0.0,unknown,no
92,56.0,retired,divorced,primary,no,0.0,no,no,unknown,6,27,1.0,-1,0.0,unknown,no
93,40.0,blue-collar,married,primary,no,12.0,yes,no,unknown,6,54,20.0,-1,0.0,unknown,no
94,56.0,management,married,tertiary,no,935.0,yes,no,cellular,11,140,1.0,-1,0.0,unknown,no
95,32.0,administrator,divorced,secondary,no,1232.0,no,no,cellular,2,217,1.0,-1,0.0,unknown,no
96,56.0,administrator,married,secondary,no,1290.0,no,no,unknown,6,243,1.0,-1,0.0,unknown,no
97,65.0,entrepreneur,married,tertiary,no,2331.0,no,n,telephone,8,425,1.0,183,2.0,success,yes
98,40.0,administrator,married,secondary,no,3138.0,no,no,cellular,8,238,1.0,-1,0.0,unknown,no
99,49.0,technician,married,secondary,no,412.0,no,no,cellular,8,1293,8.0,-1,0.0,unknown,yes
100,29.0,blue-collar,married,secondary,no,-478.0,no,yes,cellular,7,528,2.0,-1,0.0,unknown,no
101,28.0,technician,single,secondary,no,593.0,yes,no,unknown,6,202,1.0,-1,0.0,unknown,no
102,36.0,management,single,tertiary,no,202.0,no,n,cellular,8,150,4.0,-1,0.0,unknown,no
103,29.0,entrepreneur,single,tertiary,no,135.0,yes,n,cellular,5,245,1.0,356,1.0,failure,no
104,31.0,services,married,secondary,no,-163.0,yes,no,cellular,7,200,2.0,-1,0.0,unknown,no
105,42.0,technician,single,secondary,no,716.0,yes,no,cellular,11,110,1.0,-1,0.0,unknown,no
106,59.0,management,married,secondary,no,544.0,no,n,unknown,6,67,2.0,-1,0.0,unknown,no
107,55.0,management,divorced,tertiary,no,271.0,yes,no,cellular,4,191,4.0,-1,0.0,unknown,no
108,34.0,self-employed,married,tertiary,no,10000.0,no,no,telephone,11,26,5.0,-1,0.0,unknown,no
109,43.0,entrepreneur,single,primary,no,2124.0,yes,no,cellular,11,104,1.0,-1,0.0,unknown,no
110,38.0,entrepreneur,married,tertiary,no,228.0,yes,no,cellular,2,105,1.0,-1,0.0,unknown,no
111,45.0,management,married,tertiary,no,226.0,yes,no,unknown,8,177,6.0,179,10.0,success,yes
112,26.0,management,divorced,tertiary,yes,-402.0,no,yes,unknown,5,127,2.0,-1,0.0,unknown,no
113,54.0,retired,married,secondary,no,1154.0,yes,n,telephone,2,125,3.0,-1,0.0,unknown,no
114,34.0,blue-collar,single,secondary,no,0.0,yes,yes,unknown,5,346,1.0,-1,0.0,unknown,no
115,57.0,technician,divorced,secondary,no,204.0,no,no,unknown,6,97,5.0,-1,0.0,unknown,no
116,42.0,blue-collar,married,primary,no,2273.0,yes,no,cellular,11,253,1.0,112,2.0,failure,no
117,42.0,management,single,tertiary,no,706.0,no,no,cellular,1,132,1.0,-1,0.0,unknown,no
118,21.0,unemployed,single,secondary,no,1333.0,no,no,cellular,2,120,1.0,-1,0.0,unknown,no
119,47.0,technician,single,secondary,no,1710.0,no,yes,cellular,7,525,2.0,-1,0.0,unknown,no
120,50.0,technician,married,tertiary,no,72.0,no,no,telephone,12,12,1.0,-1,0.0,unknown,no
121,57.0,management,divorced,unknown,no,0.0,no,n,cellular,3,102,1.0,-1,0.0,unknown,no
122,45.0,technician,married,secondary,no,1081.0,yes,no,unknown,7,127,3.0,-1,0.0,unknown,no
123,56.0,unemployed,single,primary,no,1110.0,no,no,cellular,2,945,2.0,-1,0.0,unknown,yes
124,51.0,self-employed,married,primary,no,106.0,yes,no,telephone,7,240,2.0,-1,0.0,unknown,no
125,28.0,blue-collar,married,secondary,no,2378.0,yes,yes,cellular,7,800,6.0,-1,0.0,unknown,no
126,43.0,services,married,primary,no,3.0,yes,n,unknown,5,186,2.0,-1,0.0,unknown,no
127,38.0,technician,single,secondary,no,-591.0,yes,no,unknown,5,71,1.0,-1,0.0,unknown,no
128,49.0,management,married,tertiary,no,85.0,yes,no,cellular,5,590,5.0,359,1.0,other,yes
129,42.0,blue-collar,married,secondary,no,505.0,yes,no,cellular,5,117,1.0,-1,0.0,unknown,no
130,32.0,self-employed,married,tertiary,no,0.0,yes,no,cellular,2,357,1.0,-1,0.0,unknown,no
131,22.0,student,single,secondary,no,224.0,no,no,unknown,9,5,1.0,-1,0.0,unknown,no
132,41.0,blue-collar,married,primary,no,143.0,yes,yes,unknown,6,659,2.0,-1,0.0,unknown,yes
133,47.0,management,divorced,tertiary,no,94.0,yes,no,cellular,7,9,19.0,-1,0.0,unknown,no
134,51.0,administrator,divorced,secondary,no,2195.0,yes,n,unknown,5,59,1.0,-1,0.0,unknown,no
135,39.0,technician,married,tertiary,no,3911.0,yes,no,cellular,11,247,2.0,-1,0.0,unknown,no
136,33.0,blue-collar,married,primary,no,0.0,yes,no,cellular,5,548,1.0,-1,0.0,unknown,no
137,36.0,technician,single,secondary,no,1053.0,yes,no,unknown,5,147,1.0,-1,0.0,unknown,no
138,32.0,blue-collar,married,secondary,no,931.0,yes,no,unknown,6,409,1.0,-1,0.0,unknown,no
139,53.0,administrator,divorced,secondary,no,-120.0,yes,no,unknown,5,211,1.0,-1,0.0,unknown,no
140,54.0,blue-collar,married,secondary,no,853.0,no,no,unknown,6,24,5.0,-1,0.0,unknown,no
141,38.0,blue-collar,single,secondary,no,711.0,yes,n,cellular,2,254,5.0,140,1.0,other,no
142,31.0,management,married,tertiary,no,233.0,yes,no,cellular,5,241,2.0,365,10.0,failure,no
143,29.0,blue-collar,single,secondary,no,309.0,yes,no,cellular,5,471,3.0,-1,0.0,unknown,no
144,34.0,blue-collar,divorced,secondary,no,3798.0,yes,no,unknown,5,488,1.0,-1,0.0,unknown,no
145,41.0,management,married,tertiary,no,97.0,no,no,cellular,11,130,1.0,-1,0.0,unknown,no
146,39.0,administrator,married,primary,no,315.0,yes,n,cellular,5,259,3.0,353,3.0,failure,no
147,44.0,services,married,secondary,no,634.0,yes,n,cellular,4,226,2.0,-1,0.0,unknown,no
148,33.0,technician,single,tertiary,no,0.0,yes,n,cellular,11,654,1.0,-1,0.0,unknown,yes
149,29.0,blue-collar,married,secondary,no,832.0,yes,no,unknown,5,228,2.0,-1,0.0,unknown,no
150,27.0,services,single,secondary,no,353.0,yes,n,cellular,5,663,1.0,-1,0.0,unknown,yes
151,60.0,retired,married,secondary,no,2674.0,no,no,cellular,7,96,2.0,-1,0.0,unknown,no
152,30.0,technician,married,secondary,no,274.0,yes,yes,cellular,11,105,5.0,102,2.0,failure,no
153,47.0,self-employed,married,unknown,no,935.0,yes,no,unknown,5,225,1.0,-1,0.0,unknown,no
154,35.0,services,married,secondary,no,27.0,yes,yes,cellular,5,442,2.0,278,3.0,failure,no
155,46.0,blue-collar,married,secondary,no,176.0,no,no,unknown,5,131,1.0,-1,0.0,unknown,no
156,71.0,technician,married,tertiary,no,383.0,no,no,cellular,10,327,2.0,183,3.0,success,no
157,39.0,management,married,secondary,no,0.0,yes,no,cellular,8,63,3.0,-1,0.0,unknown,no
158,30.0,unemployed,single,tertiary,no,306.0,no,no,cellular,2,90,6.0,256,14.0,failure,no
159,32.0,management,single,tertiary,no,2974.0,yes,no,cellular,4,169,1.0,-1,0.0,unknown,no
160,34.0,administrator,married,secondary,no,147.0,yes,yes,cellular,7,57,7.0,-1,0.0,unknown,no
161,38.0,blue-collar,married,secondary,no,1116.0,no,no,unknown,6,80,3.0,-1,0.0,unknown,no
162,41.0,blue-collar,married,primary,no,262.0,yes,no,unknown,5,159,1.0,-1,0.0,unknown,no
163,34.0,services,married,secondary,no,-315.0,yes,no,unknown,5,56,2.0,-1,0.0,unknown,no
164,30.0,technician,married,secondary,no,0.0,yes,no,cellular,5,47,1.0,-1,0.0,unknown,no
165,33.0,blue-collar,married,tertiary,no,6138.0,yes,no,cellular,11,384,1.0,183,1.0,failure,no
166,27.0,blue-collar,single,tertiary,no,567.0,no,no,cellular,11,238,2.0,184,1.0,success,yes
167,26.0,services,married,secondary,no,-285.0,yes,yes,unknown,6,279,1.0,-1,0.0,unknown,no
168,52.0,housemaid,married,primary,no,310.0,no,y,unknown,6,100,4.0,-1,0.0,unknown,no
169,31.0,blue-collar,married,primary,no,229.0,no,n,telephone,7,186,2.0,-1,0.0,unknown,no
170,33.0,administrator,single,secondary,no,315.0,yes,yes,cellular,5,888,3.0,-1,0.0,unknown,yes
171,39.0,administrator,married,secondary,no,1757.0,no,n,telephone,10,125,1.0,-1,0.0,unknown,yes
172,34.0,blue-collar,married,primary,no,567.0,no,y,cellular,7,241,3.0,-1,0.0,unknown,no
173,50.0,technician,married,secondary,no,3263.0,yes,n,cellular,7,115,1.0,-1,0.0,unknown,no
174,29.0,blue-collar,married,secondary,no,9.0,yes,n,cellular,7,236,8.0,-1,0.0,unknown,no
175,45.0,administrator,divorced,unknown,no,857.0,no,n,unknown,7,49,7.0,-1,0.0,unknown,no
176,30.0,technician,divorced,secondary,no,2403.0,no,no,cellular,8,132,2.0,-1,0.0,unknown,no
177,48.0,technician,married,primary,no,788.0,no,no,telephone,7,36,2.0,-1,0.0,unknown,no
178,33.0,management,divorced,secondary,no,321.0,no,yes,cellular,7,151,10.0,-1,0.0,unknown,no
179,41.0,technician,married,secondary,no,0.0,yes,yes,cellular,11,285,1.0,116,4.0,failure,no
180,31.0,self-employed,married,secondary,no,581.0,yes,n,cellular,5,303,3.0,174,3.0,failure,no
181,31.0,services,married,secondary,no,182.0,no,no,cellular,8,231,2.0,-1,0.0,unknown,no
182,26.0,management,single,tertiary,no,2692.0,no,no,unknown,5,159,2.0,-1,0.0,unknown,no
183,30.0,services,single,secondary,no,-172.0,yes,y,cellular,4,282,4.0,329,2.0,other,no
184,38.0,administrator,married,secondary,no,507.0,yes,no,unknown,5,95,1.0,-1,0.0,unknown,no
185,44.0,management,married,secondary,no,2984.0,yes,no,unknown,5,770,2.0,-1,0.0,unknown,no
186,45.0,blue-collar,married,primary,no,1265.0,yes,no,cellular,5,40,8.0,299,1.0,success,no
187,37.0,unemployed,single,secondary,no,443.0,no,no,cellular,1,1600,1.0,-1,0.0,unknown,yes
188,74.0,retired,married,primary,no,670.0,no,no,cellular,4,266,5.0,-1,0.0,unknown,yes
189,57.0,blue-collar,married,primary,no,133.0,no,y,cellular,7,173,4.0,-1,0.0,unknown,no
190,38.0,blue-collar,married,secondary,no,702.0,no,no,unknown,6,92,1.0,-1,0.0,unknown,no
191,47.0,administrator,married,primary,no,31.0,yes,no,cellular,5,50,1.0,356,1.0,failure,no
192,41.0,technician,married,secondary,no,593.0,no,no,cellular,8,95,6.0,-1,0.0,unknown,no
193,39.0,technician,married,tertiary,no,1293.0,no,no,cellular,6,0,2.0,-1,0.0,unknown,yes
194,59.0,technician,divorced,secondary,no,-296.0,no,y,cellular,1,34,1.0,-1,0.0,unknown,no
195,31.0,technician,married,secondary,no,518.0,yes,no,unknown,8,348,2.0,-1,0.0,unknown,no
196,23.0,student,single,secondary,no,922.0,no,no,cellular,11,242,1.0,85,8.0,failure,no
197,29.0,administrator,married,secondary,no,0.0,yes,n,unknown,6,150,5.0,-1,0.0,unknown,no
198,52.0,entrepreneur,divorced,tertiary,no,199.0,yes,yes,unknown,6,246,2.0,-1,0.0,unknown,no
199,49.0,services,married,secondary,no,7019.0,yes,no,cellular,6,263,1.0,368,3.0,failure,yes
200,28.0,administrator,single,secondary,no,136.0,no,no,cellular,6,355,1.0,-1,0.0,unknown,yes
201,34.0,technician,divorced,secondary,no,-324.0,no,no,cellular,8,166,4.0,-1,0.0,unknown,no
202,27.0,management,single,tertiary,no,828.0,no,no,cellular,4,243,1.0,-1,0.0,unknown,no
203,48.0,unemployed,married,primary,no,551.0,yes,no,unknown,5,162,2.0,-1,0.0,unknown,no
204,28.0,administrator,married,secondary,no,423.0,yes,no,cellular,7,245,1.0,-1,0.0,unknown,no
205,27.0,services,married,secondary,no,58.0,yes,n,cellular,5,113,1.0,337,2.0,other,no
206,32.0,management,divorced,tertiary,no,222.0,no,yes,cellular,7,820,4.0,-1,0.0,unknown,yes
207,48.0,technician,married,secondary,no,5.0,no,no,unknown,6,65,6.0,-1,0.0,unknown,no
208,35.0,unemployed,single,secondary,no,145.0,no,no,cellular,7,354,1.0,-1,0.0,unknown,no
209,33.0,administrator,married,secondary,no,347.0,yes,n,cellular,2,7,7.0,193,13.0,failure,no
210,32.0,management,single,tertiary,no,574.0,yes,n,cellular,11,171,1.0,127,2.0,failure,no
211,37.0,services,married,secondary,no,-601.0,yes,no,cellular,7,210,2.0,-1,0.0,unknown,no
212,54.0,blue-collar,married,primary,no,-239.0,yes,no,unknown,5,29,1.0,-1,0.0,unknown,no
213,54.0,services,married,secondary,no,88.0,yes,no,unknown,5,190,1.0,-1,0.0,unknown,no
214,55.0,blue-collar,divorced,primary,no,410.0,no,yes,cellular,7,221,2.0,-1,0.0,unknown,no
215,39.0,services,married,secondary,no,104.0,yes,no,cellular,4,116,2.0,332,6.0,failure,no
216,42.0,technician,married,tertiary,no,1397.0,yes,no,unknown,2,135,7.0,-1,0.0,unknown,no
217,35.0,technician,single,secondary,no,1227.0,no,n,cellular,7,1005,5.0,134,10.0,success,yes
218,59.0,retired,divorced,secondary,no,602.0,no,n,unknown,6,89,3.0,-1,0.0,unknown,no
219,36.0,management,married,tertiary,no,274.0,no,n,cellular,8,122,2.0,-1,0.0,unknown,no
220,38.0,technician,single,secondary,no,2079.0,yes,yes,unknown,5,122,1.0,-1,0.0,unknown,no
221,24.0,administrator,single,tertiary,no,-61.0,no,n,cellular,3,95,1.0,-1,0.0,unknown,yes
222,30.0,management,married,tertiary,no,294.0,no,no,cellular,8,605,4.0,-1,0.0,unknown,no
223,39.0,management,married,tertiary,no,-124.0,no,yes,cellular,7,182,1.0,-1,0.0,unknown,no
224,48.0,management,married,unknown,no,970.0,no,no,cellular,7,67,2.0,-1,0.0,unknown,no
225,38.0,blue-collar,married,primary,no,3289.0,no,no,unknown,6,553,2.0,-1,0.0,unknown,no
226,38.0,management,divorced,tertiary,no,151.0,yes,n,cellular,7,50,1.0,-1,0.0,unknown,no
227,57.0,services,divorced,primary,no,1367.0,no,no,unknown,6,144,3.0,-1,0.0,unknown,no
228,39.0,management,married,tertiary,no,9579.0,yes,n,cellular,11,160,3.0,-1,0.0,unknown,no
229,45.0,housemaid,married,tertiary,no,40.0,yes,n,cellular,9,81,1.0,213,1.0,failure,no
230,41.0,management,married,tertiary,no,783.0,yes,no,cellular,7,126,3.0,-1,0.0,unknown,no
231,36.0,management,single,tertiary,no,156.0,no,no,cellular,8,122,1.0,-1,0.0,unknown,no
232,44.0,blue-collar,married,primary,no,-11.0,yes,no,unknown,5,13,1.0,-1,0.0,unknown,no
233,37.0,administrator,single,secondary,no,262.0,no,no,cellular,8,305,1.0,179,5.0,other,no
234,51.0,entrepreneur,married,secondary,no,0.0,no,n,unknown,5,510,1.0,-1,0.0,unknown,no
235,38.0,blue-collar,married,primary,no,467.0,yes,no,unknown,5,379,1.0,-1,0.0,unknown,no
236,31.0,technician,single,secondary,no,137.0,no,no,cellular,8,27,14.0,-1,0.0,unknown,no
237,35.0,management,single,secondary,no,1031.0,yes,no,cellular,7,254,1.0,-1,0.0,unknown,no
238,56.0,unemployed,married,secondary,no,1350.0,no,no,cellular,6,211,1.0,-1,0.0,unknown,no
239,32.0,self-employed,divorced,tertiary,no,3695.0,yes,n,cellular,5,34,1.0,353,3.0,other,no
240,39.0,blue-collar,married,primary,no,0.0,yes,yes,cellular,11,229,2.0,-1,0.0,unknown,no
241,26.0,services,married,secondary,no,-379.0,yes,yes,cellular,7,1237,7.0,-1,0.0,unknown,yes
242,30.0,blue-collar,single,tertiary,no,4127.0,yes,no,telephone,11,47,4.0,-1,0.0,unknown,no
243,29.0,blue-collar,married,secondary,no,358.0,no,no,cellular,7,88,1.0,-1,0.0,unknown,no
244,39.0,administrator,single,secondary,no,4039.0,yes,no,unknown,5,140,1.0,-1,0.0,unknown,no
245,51.0,management,married,tertiary,no,248.0,yes,yes,cellular,11,139,2.0,126,3.0,failure,no
246,37.0,administrator,single,secondary,no,3049.0,yes,y,unknown,5,153,1.0,-1,0.0,unknown,no
247,47.0,administrator,married,secondary,no,-1091.0,yes,yes,cellular,7,153,4.0,-1,0.0,unknown,no
248,33.0,blue-collar,single,secondary,no,2202.0,yes,no,cellular,4,372,2.0,-1,0.0,unknown,no
249,53.0,administrator,divorced,tertiary,no,647.0,yes,no,unknown,5,512,6.0,-1,0.0,unknown,no
250,28.0,student,married,tertiary,no,1.0,no,n,cellular,7,92,4.0,-1,0.0,unknown,no
251,33.0,technician,single,tertiary,no,154.0,no,no,cellular,6,111,2.0,78,2.0,failure,no
252,31.0,technician,married,secondary,no,-119.0,yes,no,cellular,5,9,5.0,-1,0.0,unknown,no
253,40.0,management,single,tertiary,no,1509.0,no,n,cellular,5,333,1.0,58,3.0,failure,no
254,42.0,blue-collar,married,primary,no,-336.0,yes,no,telephone,5,12,6.0,-1,0.0,unknown,no
255,38.0,housemaid,single,tertiary,no,0.0,no,n,cellular,6,137,3.0,-1,0.0,unknown,no
256,39.0,blue-collar,married,secondary,no,971.0,yes,yes,unknown,7,471,3.0,-1,0.0,unknown,no
257,40.0,self-employed,married,tertiary,no,1498.0,no,n,cellular,2,62,1.0,-1,0.0,unknown,no
258,44.0,management,married,tertiary,no,226.0,yes,no,cellular,11,76,3.0,-1,0.0,unknown,no
259,32.0,blue-collar,married,secondary,no,0.0,yes,n,cellular,11,132,1.0,-1,0.0,unknown,yes
260,23.0,blue-collar,single,primary,no,382.0,no,n,cellular,6,74,1.0,108,1.0,other,no
261,51.0,administrator,single,primary,no,60.0,no,no,unknown,7,93,1.0,-1,0.0,unknown,no
262,33.0,administrator,married,secondary,no,1521.0,yes,n,cellular,5,222,1.0,-1,0.0,unknown,no
263,50.0,blue-collar,married,secondary,no,283.0,yes,n,cellular,8,226,3.0,-1,0.0,unknown,no
264,39.0,blue-collar,married,primary,no,4.0,yes,n,cellular,11,206,5.0,-1,0.0,unknown,no
265,38.0,administrator,single,secondary,no,895.0,yes,no,cellular,5,0,1.0,-1,0.0,unknown,yes
266,56.0,technician,married,tertiary,no,52.0,no,n,unknown,6,191,3.0,-1,0.0,unknown,no
267,32.0,management,single,tertiary,no,2306.0,no,no,cellular,8,86,7.0,-1,0.0,unknown,no
